protein,protein_id
BLOC1S6,pBLOC1S6
ASUN,pASUN
STX8,pSTX8
GPSM1,pGPSM1
HK2,pHK2
PLOD3,pPLOD3
PDCD6,pPDCD6
TRIM37,pTRIM37
PIN1,pPIN1
FAM127B,pFAM127B
CYTH3,pCYTH3
ZNF165,pZNF165
NINL,pNINL
RASSF8,pRASSF8
PDLIM7,pPDLIM7
KAT7,pKAT7
BSCL2,pBSCL2
EMC2,pEMC2
ABLIM1,pABLIM1
NFYB,pNFYB
TUBGCP4,pTUBGCP4
SGTA,pSGTA
FAM60A,pFAM60A
MCRS1,pMCRS1
DHPS,pDHPS
VPS25,pVPS25
MBIP,pMBIP
ADAMTSL4,pADAMTSL4
RABL6,pRABL6
KHDRBS3,pKHDRBS3
CEP63,pCEP63
SNRPG,pSNRPG
ACY1,pACY1
NT5C2,pNT5C2
KRT20,pKRT20
RTN1,pRTN1
SDPR,pSDPR
HNRNPC,pHNRNPC
WWP1,pWWP1
DFFA,pDFFA
LMO3,pLMO3
TADA2A,pTADA2A
SMARCD1,pSMARCD1
HOXA9,pHOXA9
PSMA1,pPSMA1
SRPK2,pSRPK2
TCEB3,pTCEB3
DNAL4,pDNAL4
TBC1D5,pTBC1D5
GPS2,pGPS2
RCBTB2,pRCBTB2
AP2B1,pAP2B1
SDCBP2,pSDCBP2
SPRY2,pSPRY2
RFX3,pRFX3
SQSTM1,pSQSTM1
MAD1L1,pMAD1L1
TSNAX,pTSNAX
DDIT3,pDDIT3
MLLT6,pMLLT6
SEC24C,pSEC24C
GGA2,pGGA2
NBR1,pNBR1
PAFAH1B2,pPAFAH1B2
KRT19,pKRT19
ACTG1,pACTG1
PDE9A,pPDE9A
KPNA3,pKPNA3
LASP1,pLASP1
CIAO1,pCIAO1
PAICS,pPAICS
XRCC4,pXRCC4
PTPN9,pPTPN9
ARMC7,pARMC7
AKAP17A,pAKAP17A
SPG21,pSPG21
PYROXD1,pPYROXD1
MTUS2,pMTUS2
HSD17B14,pHSD17B14
SOX30,pSOX30
