Node_i,Node_j,edge_weight
l1700112D23Rik,pRFOX2,1
l1700112D23Rik,pSFPQ,1
l1700112D23Rik,pTTP,2
l1700112D23Rik,pTYY1,1
l1700112D23Rik,pTdp43,1
l1700112D23Rik,pUpf1,1
l1700112D23Rik,pVIGLN,1
l1700112E06Rik,pEzh2,1
l1700112E06Rik,pFus,2
l1700112E06Rik,pMbnl1,1
l1700112E06Rik,pRbfox3,1
l1700112E06Rik,pTdp43,1
l1700112E06Rik,pUpf1,1
l1700112J16Rik,pAGO2,1
l1700112J16Rik,pPou5f1,1
l1700112J16Rik,pPtbp2,1
l1700112J16Rik,pRFOX2,1
l1700112M01Rik,pAGO1,1
l1700112M01Rik,pAGO2,1
l1700112M01Rik,pAGO4,1
l1700112M01Rik,pPABP1,1
l1700112M01Rik,pPtbp2,1
l1700112M01Rik,pRFOX2,1
l1700112M01Rik,pSFPQ,1
l1700112M01Rik,pTIA1,1
l1700112M01Rik,pTYY1,1
l1700113A16Rik,pAGO1,1
l1700113A16Rik,pAGO2,1
l1700113A16Rik,pAGO4,1
l1700113A16Rik,pPABP1,1
l1700113A16Rik,pRFOX2,1
l1700113A16Rik,pSFPQ,1
l1700113A16Rik,pTTP,1
l1700121F15Rik,pPABP1,1
l1700121F15Rik,pRFOX2,1
l1700121F15Rik,pTIA1,1
l1700121F15Rik,pTTP,1
l1700122E12Rik,pPABP1,1
l1700125G22Rik,pPou5f1,1
l1700125G22Rik,pRFOX2,1
l1700128E19Rik,pAGO1,1
l1700128E19Rik,pAGO2,1
l1700128E19Rik,pAGO4,1
l1810009N23Rik,pPABP1,1
l1810009N23Rik,pRFOX2,1
l1810010H24Rik,pPABP1,1
l1810010K12Rik,pKPYM,1
l1810010K12Rik,pRFOX2,1
l1810014B01Rik,pAGO1,1
l1810014B01Rik,pAGO2,3
l1810014B01Rik,pAGO4,1
l1810014B01Rik,pDAZL,1
l1810014B01Rik,pElavl1,1
l1810014B01Rik,pKPYM,1
l1810014B01Rik,pMSI2H,1
l1810014B01Rik,pPABP1,1
l1810014B01Rik,pPSPC1,1
l1810014B01Rik,pPtbp2,1
l1810014B01Rik,pRBM10,1
l1810014B01Rik,pRFOX2,1
l1810014B01Rik,pSFPQ,1
l1810014B01Rik,pTIA1,1
l1810014B01Rik,pTTP,2
l1810015C04Rik,pMbnl1,1
l1810019D21Rik,pTIA1,1
l1810019D21Rik,pTYY1,1
l1810019N24Rik,pElavl1,1
l1810019N24Rik,pPABP1,1
l1810019N24Rik,pPtbp2,1
l1810019N24Rik,pRFOX2,1
l1810019N24Rik,pTTP,1
l1810019N24Rik,pVIGLN,1
l1810020O05Rik,pPou5f1,1
l1810020O05Rik,pPtbp2,1
l1810020O05Rik,pRFOX2,1
l1810024B03Rik,pFus,1
l1810032O08Rik,pCpsf6,1
l1810032O08Rik,pFus,1
l1810032O08Rik,pJARID2,1
l1810034E14Rik,p-,1
l1810034E14Rik,pAGO1,1
l1810034E14Rik,pAGO2,1
l1810034E14Rik,pAGO4,1
l1810034E14Rik,pPou5f1,1
l1810034E14Rik,pRFOX2,1
l1810034E14Rik,pSFPQ,1
l1810034E14Rik,pTTP,1
l1810034E14Rik,pTYY1,1
l1810035I16Rik,pKPYM,1
l1810035I16Rik,pPSPC1,1
l1810035I16Rik,pRFOX2,1
l1810035I16Rik,pSUZ12,1
l1810043G02Rik,pFMRP,1
l1810043G02Rik,pFus,2
l1810043G02Rik,pTdp43,1
l1810058N05Rik,p-,1
l1810058N05Rik,pPABP1,1
l1810058N05Rik,pRFOX2,1
l1810063I02Rik,pTYY1,1
l2010003O02Rik,pAGO2,1
l2010003O02Rik,pDAZL,1
l2010003O02Rik,pFMRP,1
l2010003O02Rik,pFus,1
l2010003O02Rik,pPABP1,1
l2010003O02Rik,pPABPC1,1
l2010003O02Rik,pPtbp2,1
l2010003O02Rik,pRFOX2,1
l2010003O02Rik,pTIA1,1
l2010003O02Rik,pUpf1,1
l2010012P19Rik,pAGO1,1
l2010012P19Rik,pAGO2,1
l2010012P19Rik,pAGO4,1
l2010012P19Rik,pCelf1,1
l2010012P19Rik,pEzh2,1
l2010012P19Rik,pFus,2
l2010012P19Rik,pKPYM,1
l2010012P19Rik,pPou5f1,1
l2010012P19Rik,pRFOX2,1
l2010012P19Rik,pSFPQ,1
l2010012P19Rik,pTTP,1
l2010012P19Rik,pTYY1,1
l2010012P19Rik,pTdp43,1
l2010012P19Rik,pUpf1,1
l2010015L04Rik,pEzh2,1
l2010015L04Rik,pFus,2
l2010015L04Rik,pTdp43,1
l2010015M23Rik,pDAZL,1
l2010015M23Rik,pPABP1,1
l2010015M23Rik,pSFPQ,1
l2010015M23Rik,pTTP,1
l2010015M23Rik,pVIGLN,1
l2010107G23Rik,pTdp43,1
l2010110K18Rik,pPABP1,1
l2010110K18Rik,pPou5f1,1
l2010110K18Rik,pTYY1,1
l2010110K18Rik,pVIGLN,1
l2010300F17Rik,p-,1
l2010300F17Rik,pElavl1,1
l2010300F17Rik,pRFOX2,1
l2010300F17Rik,pTYY1,1
l2010300F17Rik,pVIGLN,1
l2200002D01Rik,pUpf1,1
l2210016L21Rik,pFus,1
l2210416O15Rik,pSFPQ,1
l2210417A02Rik,pPABP1,1
l2210417K05Rik,pPABP1,1
l2210417K05Rik,pPtbp2,1
l2210417K05Rik,pRFOX2,1
l2210417K05Rik,pSFPQ,1
l2310001H17Rik,pAGO1,1
l2310001H17Rik,pAGO2,1
l2310001H17Rik,pAGO4,1
l2310001H17Rik,pKPYM,1
l2310001H17Rik,pPABP1,1
