protein,protein_id
Foxq1,pFoxq1
Foxj1,pFoxj1
Hif1a,pHif1a
Hivep2,pHivep2
Hoxa1,pHoxa1
Hoxa10,pHoxa10
Hoxa11,pHoxa11
Hoxa2,pHoxa2
Hoxa4,pHoxa4
Hoxa5,pHoxa5
Hoxa6,pHoxa6
Hoxa9,pHoxa9
Hoxb1,pHoxb1
Hoxb13,pHoxb13
Hoxb4,pHoxb4
Hoxb5,pHoxb5
Hoxb6,pHoxb6
Hoxb8,pHoxb8
Hoxc12,pHoxc12
Hoxc4,pHoxc4
Hoxc5,pHoxc5
Hoxc6,pHoxc6
Hoxd1,pHoxd1
Hoxd10,pHoxd10
Hoxd12,pHoxd12
Hoxd13,pHoxd13
Hoxd3,pHoxd3
Hoxd4,pHoxd4
Hoxd9,pHoxd9
Hr,pHr
Elavl2,pElavl2
Id1,pId1
Id2,pId2
Ikbkg,pIkbkg
Irf4,pIrf4
Irf9,pIrf9
Isl1,pIsl1
Junb,pJunb
Jund,pJund
Mafb,pMafb
Ldb1,pLdb1
Ldb2,pLdb2
Lef1,pLef1
Lhx2,pLhx2
Lhx4,pLhx4
Lhx9,pLhx9
Lmo4,pLmo4
Lmx1b,pLmx1b
Mycl,pMycl
Mxd1,pMxd1
Mxd3,pMxd3
Mxd4,pMxd4
Smad5,pSmad5
Maff,pMaff
Mafg,pMafg
Mafk,pMafk
Ascl1,pAscl1
Max,pMax
Mcm6,pMcm6
Mef2c,pMef2c
Meis1,pMeis1
Meox1,pMeox1
Meox2,pMeox2
Mitf,pMitf
Pias2,pPias2
Mllt10,pMllt10
Meis2,pMeis2
Meis3,pMeis3
Msx1,pMsx1
Msx2,pMsx2
Mtf1,pMtf1
Mxi1,pMxi1
Myb,pMyb
Mybl2,pMybl2
Neurod1,pNeurod1
Nfatc3,pNfatc3
Nfe2,pNfe2
Nfic,pNfic
Nfkb2,pNfkb2
Nfkbia,pNfkbia
Nkx2-2,pNkx2-2
Nkx2-3,pNkx2-3
Mycn,pMycn
Nr4a3,pNr4a3
Nr1i2,pNr1i2
Orc2,pOrc2
Otx2,pOtx2
Pax6,pPax6
Pax8,pPax8
