Node_i,Node_j,edge_weight
l1700024P03Rik,pQki,1
l1700024P03Rik,pRbfox2,1
l1700024P03Rik,pSfpq,1
l1700024P03Rik,pTia1,1
l1700024P03Rik,pYy1,1
l1700025G04Rik,pCelf1,2
l1700025G04Rik,pFmr1,1
l1700025G04Rik,pFus,2
l1700025G04Rik,pMbnl1,1
l1700025G04Rik,pTardbp,1
l1700025G04Rik,pUpf1,1
l1700025O08Rik,pRbfox2,1
l1700026J12Rik,pDazl,1
l1700026J12Rik,pPou5f1,1
l1700026J12Rik,pPtbp2,1
l1700026J12Rik,pRbfox2,1
l1700026J12Rik,pYy1,1
l1700026J12Rik,pHdlbp,1
l1700026J14Rik,pPou5f1,1
l1700027A07Rik,pElavl1,1
l1700027A07Rik,pPabpc1,1
l1700027A07Rik,pRbfox2,1
l1700027A07Rik,pTia1,1
l1700027A07Rik,pZfp36,2
l1700028E10Rik,pDazl,1
l1700028E10Rik,pPabpc1,1
l1700028E10Rik,pPtbp2,1
l1700028E10Rik,pRbfox2,1
l1700028E10Rik,pHdlbp,1
l1700028K03Rik,pFus,2
l1700028K03Rik,pTardbp,1
l1700028P15Rik,pPou5f1,1
l1700029M20Rik,pDazl,1
l1700029M20Rik,pPtbp2,1
l1700029M20Rik,pRbfox2,1
l1700030C12Rik,pRbfox2,1
l1700030G06Rik,p-,2
l1700030G06Rik,pAgo1,1
l1700030G06Rik,pAgo2,3
l1700030G06Rik,pAgo4,1
l1700030G06Rik,pCbx7,1
l1700030G06Rik,pDazl,1
l1700030G06Rik,pElavl1,1
l1700030G06Rik,pPkm,1
l1700030G06Rik,pPabpc1,1
l1700030G06Rik,pPou5f1,1
l1700030G06Rik,pPtbp2,1
l1700030G06Rik,pQki,1
l1700030G06Rik,pRbm10,1
l1700030G06Rik,pRbfox2,1
l1700030G06Rik,pSfpq,1
l1700030G06Rik,pTia1,1
l1700030G06Rik,pZfp36,2
l1700030G06Rik,pYy1,1
l1700030G06Rik,pHdlbp,1
l1700030K09Rik,pFus,1
l1700030K09Rik,pMbnl1,1
l1700030K09Rik,pUpf1,1
l1700034P13Rik,pDazl,1
l1700034P13Rik,pElavl1,1
l1700034P13Rik,pPkm,1
l1700034P13Rik,pPabpc1,1
l1700034P13Rik,pPou5f1,1
l1700034P13Rik,pPtbp2,1
l1700034P13Rik,pQki,1
l1700034P13Rik,pRbfox2,1
l1700034P13Rik,pSfpq,1
l1700034P13Rik,pZfp36,1
l1700034P13Rik,pYy1,1
l1700034P13Rik,pHdlbp,1
l1700037C18Rik,pEzh2,1
l1700037C18Rik,pFmr1,1
l1700037C18Rik,pFus,2
l1700037C18Rik,pPabpc1,1
l1700037C18Rik,pTardbp,1
l1700037H04Rik,pEzh2,1
l1700037H04Rik,pFus,2
l1700037H04Rik,pTardbp,1
l1700037H04Rik,pUpf1,1
l1700040D17Rik,pDazl,1
l1700040D17Rik,pFmr1,1
l1700040D17Rik,pPou5f1,1
l1700040D17Rik,pPtbp2,1
l1700040D17Rik,pRbfox2,1
l1700040D17Rik,pYy1,1
l1700040E09Rik,pRbfox3,1
l1700040N02Rik,pAgo2,1
l1700040N02Rik,pPkm,1
l1700040N02Rik,pPou5f1,1
l1700040N02Rik,pPtbp2,1
l1700040N02Rik,pQki,1
l1700040N02Rik,pRbfox2,1
l1700040N02Rik,pSfpq,1
l1700040N02Rik,pZfp36,1
l1700040N02Rik,pYy1,1
l1700045I19Rik,pPtbp2,1
l1700045I19Rik,pRbfox2,1
l1700046C09Rik,pAgo2,1
l1700046C09Rik,pFmr1,1
l1700046C09Rik,pPou5f1,1
l1700046C09Rik,pPtbp2,1
l1700046C09Rik,pRbfox2,1
l1700046C09Rik,pSfpq,1
l1700049G17Rik,pFus,2
l1700049G17Rik,pTardbp,1
l1700057G04Rik,pFmr1,1
l1700057G04Rik,pRbfox3,1
l1700058G18Rik,pPou5f1,1
l1700058G18Rik,pYy1,1
l1700060C16Rik,pAgo2,1
l1700060C16Rik,pPabpc1,1
l1700060C16Rik,pPou5f1,1
l1700060C16Rik,pQki,1
l1700060C16Rik,pRbfox2,1
l1700060C16Rik,pYy1,1
l1700061E18Rik,pPou5f1,1
l1700061F12Rik,pRbfox2,1
l1700061H18Rik,pPabpc1,1
l1700061H18Rik,pPou5f1,1
l1700061H18Rik,pPtbp2,1
l1700061H18Rik,pRbfox2,1
l1700061H18Rik,pSfpq,1
l1700061H18Rik,pTia1,1
l1700061H18Rik,pYy1,1
l1700064E03Rik,pPabpc1,1
l1700064E03Rik,pPspc1,1
l1700064E03Rik,pRbm10,1
l1700064E03Rik,pRbfox2,1
l1700066J03Rik,pRbfox2,1
l1700066J24Rik,p-,1
l1700066J24Rik,pFmr1,1
l1700066J24Rik,pNova1,1
l1700066J24Rik,pPabpc1,1
l1700066J24Rik,pSfpq,1
l1700066O22Rik,pDazl,1
l1700066O22Rik,pPou5f1,1
l1700066O22Rik,pPtbp2,1
l1700066O22Rik,pRbfox2,1
l1700066O22Rik,pYy1,1
l1700069L16Rik,pUpf1,1
l1700081H22Rik,pElavl1,1
l1700081H22Rik,pPabpc1,1
l1700081H22Rik,pPou5f1,1
l1700081H22Rik,pRbfox2,1
l1700081H22Rik,pYy1,1
l1700085B03Rik,pPabpc1,1
l1700085B03Rik,pPou5f1,1
l1700085B03Rik,pQki,1
l1700085B03Rik,pRbfox2,1
l1700085B03Rik,pYy1,1
l1700085D07Rik,pRbfox3,2
l1700086O06Rik,pAgo2,1
l1700086O06Rik,pPabpc1,1
l1700086O06Rik,pRbm10,1
l1700086O06Rik,pRbfox2,1
l1700086O06Rik,pSfpq,1
l1700086O06Rik,pTia1,1
l1700091E21Rik,p-,1
l1700091E21Rik,pAgo1,1
l1700091E21Rik,pAgo2,2
l1700091E21Rik,pAgo4,1
l1700091E21Rik,pElavl1,1
l1700091E21Rik,pFmr1,1
l1700091E21Rik,pPkm,1
l1700091E21Rik,pNova1,1
l1700091E21Rik,pPabpc1,1
l1700091E21Rik,pPspc1,1
l1700091E21Rik,pPou5f1,1
l1700091E21Rik,pPtbp2,1
l1700091E21Rik,pRbfox2,1
l1700091E21Rik,pSfpq,1
l1700091E21Rik,pYy1,1
l1700091E21Rik,pHdlbp,1
l1700092C02Rik,pRbfox2,1
l1700092C10Rik,pPou5f1,1
l1700092C17Rik,pRbfox2,1
l1700092E19Rik,pPtbp2,1
l1700092E19Rik,pRbfox2,1
l1700094C10Rik,p-,1
l1700094C10Rik,pElavl1,1
l1700094C10Rik,pPabpc1,1
l1700094C10Rik,pRbfox2,1
l1700094C10Rik,pSfpq,1
l1700094C10Rik,pTia1,1
l1700094C10Rik,pZfp36,1
l1700094C10Rik,pYy1,1
l1700094C10Rik,pHdlbp,1
l1700099I09Rik,pTia1,1
l1700102J08Rik,pRbfox3,2
l1700104A03Rik,pDazl,1
l1700104A03Rik,pElavl1,1
l1700104A03Rik,pFmr1,1
l1700104A03Rik,pPou5f1,1
l1700104A03Rik,pPtbp2,1
l1700104A03Rik,pQki,1
l1700104A03Rik,pRbfox2,1
l1700104A03Rik,pYy1,1
l1700109F18Rik,pDazl,1
l1700109F18Rik,pElavl1,1
l1700109F18Rik,pPabpc1,1
l1700109F18Rik,pPtbp2,1
l1700109F18Rik,pRbfox2,1
l1700109F18Rik,pYy1,1
l1700109F18Rik,pHdlbp,1
l1700109K24Rik,p-,1
l1700109K24Rik,pAgo2,1
l1700109K24Rik,pPou5f1,1
l1700109K24Rik,pRbm10,1
l1700109K24Rik,pRbfox2,1
l1700109K24Rik,pSfpq,1
l1700109K24Rik,pTia1,1
l1700112D23Rik,pAgo1,1
l1700112D23Rik,pAgo2,2
l1700112D23Rik,pAgo4,1
l1700112D23Rik,pDazl,1
l1700112D23Rik,pFmr1,1
l1700112D23Rik,pFus,2
l1700112D23Rik,pJarid2,1
l1700112D23Rik,pPabpc1,1
l1700112D23Rik,pPou5f1,1
l1700112D23Rik,pPtbp2,1
l1700112D23Rik,pRbfox2,1
l1700112D23Rik,pSfpq,1
l1700112D23Rik,pZfp36,2
l1700112D23Rik,pYy1,1
l1700112D23Rik,pTardbp,1
l1700112D23Rik,pUpf1,1
l1700112D23Rik,pHdlbp,1
l1700112E06Rik,pEzh2,1
l1700112E06Rik,pFus,2
l1700112E06Rik,pMbnl1,1
l1700112E06Rik,pRbfox3,1
l1700112E06Rik,pTardbp,1
l1700112E06Rik,pUpf1,1
l1700112J16Rik,pAgo2,1
l1700112J16Rik,pPou5f1,1
l1700112J16Rik,pPtbp2,1
l1700112J16Rik,pRbfox2,1
l1700112M01Rik,pAgo1,1
l1700112M01Rik,pAgo2,1
l1700112M01Rik,pAgo4,1
l1700112M01Rik,pPabpc1,1
l1700112M01Rik,pPtbp2,1
l1700112M01Rik,pRbfox2,1
l1700112M01Rik,pSfpq,1
l1700112M01Rik,pTia1,1
l1700112M01Rik,pYy1,1
l1700113A16Rik,pAgo1,1
l1700113A16Rik,pAgo2,1
l1700113A16Rik,pAgo4,1
l1700113A16Rik,pPabpc1,1
l1700113A16Rik,pRbfox2,1
l1700113A16Rik,pSfpq,1
l1700113A16Rik,pZfp36,1
l1700121F15Rik,pPabpc1,1
l1700121F15Rik,pRbfox2,1
l1700121F15Rik,pTia1,1
l1700121F15Rik,pZfp36,1
l1700122E12Rik,pPabpc1,1
l1700125G22Rik,pPou5f1,1
l1700125G22Rik,pRbfox2,1
l1700128E19Rik,pAgo1,1
l1700128E19Rik,pAgo2,1
l1700128E19Rik,pAgo4,1
l1810009N23Rik,pPabpc1,1
l1810009N23Rik,pRbfox2,1
l1810010H24Rik,pPabpc1,1
l1810010K12Rik,pPkm,1
l1810010K12Rik,pRbfox2,1
l1810014B01Rik,pAgo1,1
l1810014B01Rik,pAgo2,3
l1810014B01Rik,pAgo4,1
l1810014B01Rik,pDazl,1
l1810014B01Rik,pElavl1,1
l1810014B01Rik,pPkm,1
l1810014B01Rik,pMsi2,1
l1810014B01Rik,pPabpc1,1
l1810014B01Rik,pPspc1,1
l1810014B01Rik,pPtbp2,1
l1810014B01Rik,pRbm10,1
l1810014B01Rik,pRbfox2,1
l1810014B01Rik,pSfpq,1
l1810014B01Rik,pTia1,1
l1810014B01Rik,pZfp36,2
l1810015C04Rik,pMbnl1,1
l1810019D21Rik,pTia1,1
l1810019D21Rik,pYy1,1
l1810019N24Rik,pElavl1,1
l1810019N24Rik,pPabpc1,1
l1810019N24Rik,pPtbp2,1
l1810019N24Rik,pRbfox2,1
l1810019N24Rik,pZfp36,1
l1810019N24Rik,pHdlbp,1
l1810020O05Rik,pPou5f1,1
l1810020O05Rik,pPtbp2,1
l1810020O05Rik,pRbfox2,1
l1810024B03Rik,pFus,1
l1810032O08Rik,pCpsf6,1
l1810032O08Rik,pFus,1
l1810032O08Rik,pJarid2,1
l1810034E14Rik,p-,1
l1810034E14Rik,pAgo1,1
l1810034E14Rik,pAgo2,1
l1810034E14Rik,pAgo4,1
l1810034E14Rik,pPou5f1,1
l1810034E14Rik,pRbfox2,1
l1810034E14Rik,pSfpq,1
l1810034E14Rik,pZfp36,1
l1810034E14Rik,pYy1,1
l1810035I16Rik,pPkm,1
l1810035I16Rik,pPspc1,1
l1810035I16Rik,pRbfox2,1
l1810035I16Rik,pSuz12,1
l1810043G02Rik,pFmr1,1
l1810043G02Rik,pFus,2
l1810043G02Rik,pTardbp,1
l1810058N05Rik,p-,1
l1810058N05Rik,pPabpc1,1
l1810058N05Rik,pRbfox2,1
l1810063I02Rik,pYy1,1
l2010003O02Rik,pAgo2,1
l2010003O02Rik,pDazl,1
l2010003O02Rik,pFmr1,1
l2010003O02Rik,pFus,1
l2010003O02Rik,pPabpc1,1
l2010003O02Rik,pPabpc1,1
l2010003O02Rik,pPtbp2,1
l2010003O02Rik,pRbfox2,1
l2010003O02Rik,pTia1,1
l2010003O02Rik,pUpf1,1
l2010012P19Rik,pAgo1,1
l2010012P19Rik,pAgo2,1
l2010012P19Rik,pAgo4,1
l2010012P19Rik,pCelf1,1
l2010012P19Rik,pEzh2,1
l2010012P19Rik,pFus,2
l2010012P19Rik,pPkm,1
l2010012P19Rik,pPou5f1,1
l2010012P19Rik,pRbfox2,1
l2010012P19Rik,pSfpq,1
l2010012P19Rik,pZfp36,1
l2010012P19Rik,pYy1,1
l2010012P19Rik,pTardbp,1
l2010012P19Rik,pUpf1,1
l2010015L04Rik,pEzh2,1
l2010015L04Rik,pFus,2
l2010015L04Rik,pTardbp,1
l2010015M23Rik,pDazl,1
l2010015M23Rik,pPabpc1,1
l2010015M23Rik,pSfpq,1
l2010015M23Rik,pZfp36,1
l2010015M23Rik,pHdlbp,1
l2010107G23Rik,pTardbp,1
l2010110K18Rik,pPabpc1,1
l2010110K18Rik,pPou5f1,1
l2010110K18Rik,pYy1,1
l2010110K18Rik,pHdlbp,1
l2010300F17Rik,p-,1
l2010300F17Rik,pElavl1,1
l2010300F17Rik,pRbfox2,1
l2010300F17Rik,pYy1,1
l2010300F17Rik,pHdlbp,1
l2200002D01Rik,pUpf1,1
l2210016L21Rik,pFus,1
l2210416O15Rik,pSfpq,1
l2210417A02Rik,pPabpc1,1
l2210417K05Rik,pPabpc1,1
l2210417K05Rik,pPtbp2,1
l2210417K05Rik,pRbfox2,1
l2210417K05Rik,pSfpq,1
l2310001H17Rik,pAgo1,1
l2310001H17Rik,pAgo2,1
l2310001H17Rik,pAgo4,1
l2310001H17Rik,pPkm,1
l2310001H17Rik,pPabpc1,1
l2310001H17Rik,pPou5f1,1
l2310001H17Rik,pRbfox2,1
l2310001H17Rik,pZfp36,1
l2310001H17Rik,pYy1,1
l2310001H17Rik,pHdlbp,1
l2310002F09Rik,pAgo2,1
l2310002F09Rik,pFmr1,1
l2310002F09Rik,pMsi2,1
l2310002F09Rik,pPabpc1,1
l2310002F09Rik,pPspc1,1
l2310002F09Rik,pQki,1
l2310002F09Rik,pRbfox2,1
l2310002F09Rik,pTia1,1
l2310002F09Rik,pYy1,1
l2310002F09Rik,pHdlbp,1
l2310002L09Rik,pCelf1,2
l2310003H01Rik,pCpsf6,1
l2310003H01Rik,pFmr1,1
l2310003H01Rik,pUpf1,1
l2310010G23Rik,pPabpc1,1
l2310010J17Rik,pPabpc1,1
l2310010J17Rik,pZfp36,1
