lncRNA,score
lNONHSAG024744,1.388124669302805e-05
lNONHSAG036115,1.3878258140437569e-05
lNONHSAG055625,1.385378648114045e-05
lNONHSAG041987,1.3845405471600111e-05
lNONHSAG041331,1.3825214742290663e-05
lNONHSAG037195,1.3823347240229305e-05
lNONHSAG014579,1.3815410398272707e-05
lNONHSAG022628,1.3806834969820452e-05
lNONHSAG038720,1.3804327749698204e-05
lNONHSAG006955,1.3760790479555712e-05
lNONHSAG001657,1.3748829621607228e-05
lNONHSAG049978,1.3728948051954356e-05
lNONHSAG035286,1.3688650922290742e-05
lNONHSAG026645,1.3669481444492872e-05
lNONHSAG030193,1.3551446173848125e-05
lNONHSAG007132,1.3542759202226697e-05
lNONHSAG041008,1.3513881356240454e-05
lNONHSAG019668,1.3499073213239901e-05
lNONHSAG011471,1.3493258858506246e-05
lNONHSAG055480,1.3478801775416272e-05
lNONHSAG022600,1.344621974556927e-05
lNONHSAG013891,1.344463044443631e-05
lNONHSAG001712,1.3419742900543137e-05
lNONHSAG073380,1.3368866368923481e-05
lNONHSAG003406,1.3364839330326813e-05
lNONHSAG047066,1.3339210701646125e-05
lNONHSAG015674,1.331366607930859e-05
lNONHSAG007695,1.3278092754504114e-05
lNONHSAG035498,1.3271631822108593e-05
lNONHSAG013730,1.3267474013665217e-05
lNONHSAG031540,1.3260026928977115e-05
lNONHSAG030459,1.3258609531486157e-05
lNONHSAG048341,1.3245658371861546e-05
lNONHSAG051205,1.3236401772679015e-05
lNONHSAG005019,1.3229921819163033e-05
lNONHSAG003627,1.3219137763095304e-05
lNONHSAG001351,1.3216483910681385e-05
lNONHSAG013209,1.3209124388339044e-05
lNONHSAG028024,1.3170194464135513e-05
lNONHSAG017992,1.3130539796226275e-05
lNONHSAG029003,1.310107278267011e-05
lNONHSAG000386,1.3098003332810626e-05
lNONHSAG028918,1.3088893164935823e-05
lNONHSAG038464,1.3081328581919978e-05
lNONHSAG035713,1.306832597052286e-05
lNONHSAG007380,1.3066259091128982e-05
lNONHSAG040229,1.3041686439854309e-05
lNONHSAG002167,1.3027596345596096e-05
lNONHSAG033776,1.2995826003851113e-05
lNONHSAG022953,1.2995779894264598e-05
lNONHSAG055492,1.2984803224978786e-05
lNONHSAG037254,1.2964567190811347e-05
lNONHSAG047406,1.2962883547974632e-05
lNONHSAG015073,1.2940172148204596e-05
lNONHSAG017972,1.2928226475279069e-05
lNONHSAG005153,1.2922498204631237e-05
lNONHSAG035310,1.2881697894717977e-05
lNONHSAG034592,1.287842282797315e-05
lNONHSAG051231,1.2863506383710682e-05
lNONHSAG012700,1.2846974267600727e-05
lENSG00000270022,1.283993897434783e-05
lNONHSAG015581,1.2821818369620036e-05
lNONHSAG003785,1.2816622990471579e-05
lNONHSAG007984,1.2813196057021842e-05
lNONHSAG026523,1.280410727678537e-05
lNONHSAG053515,1.2793370491142403e-05
lNONHSAG034157,1.2777455821637913e-05
lNONHSAG051266,1.2751109896298923e-05
lNONHSAG041903,1.2729840594214294e-05
lNONHSAG036477,1.2727390800398991e-05
lNONHSAG053033,1.2724687255993988e-05
lNONHSAG044512,1.2711666113934016e-05
lNONHSAG041336,1.2711611076625747e-05
lENSG00000282885,1.2701565493574992e-05
lNONHSAG031215,1.2695320817780946e-05
lENSG00000286644,1.2684411008208781e-05
lNONHSAG001180,1.2680100561319736e-05
lNONHSAG051192,1.2656574803336446e-05
lNONHSAG037686,1.2625635158701855e-05
lNONHSAG038598,1.2622920616614033e-05
lNONHSAG032540,1.2620457693000774e-05
lNONHSAG022893,1.2614820731043736e-05
lNONHSAG048592,1.2606522694889242e-05
lNONHSAG041398,1.2598502505618729e-05
lNONHSAG027686,1.2555656633703555e-05
lNONHSAG011861,1.2553843485456874e-05
lNONHSAG019623,1.2533513717863115e-05
lNONHSAG044869,1.251889184299439e-05
lNONHSAG014289,1.250714927176911e-05
lNONHSAG050445,1.2504962550765758e-05
lNONHSAG023761,1.2475658995550002e-05
lNONHSAG035789,1.2466346799233013e-05
lNONHSAG013375,1.2463212819375083e-05
lNONHSAG039430,1.2449600433989067e-05
lNONHSAG032926,1.2435792587273301e-05
lNONHSAG015845,1.2422422413904593e-05
lNONHSAG037137,1.2420066580713858e-05
lNONHSAG002696,1.241133508889243e-05
lNONHSAG036394,1.2405719523646951e-05
lNONHSAG003823,1.240163076860672e-05
lNONHSAG000648,1.2392790679264049e-05
lNONHSAG027639,1.2387936090513276e-05
lNONHSAG013261,1.2383777695905953e-05
lNONHSAG041186,1.2375972822487886e-05
lNONHSAG018031,1.237283431551033e-05
lNONHSAG050144,1.2367746599514703e-05
lNONHSAG022355,1.2364080139313658e-05
lNONHSAG012209,1.2353167936121074e-05
lNONHSAG001118,1.2333883228236208e-05
lNONHSAG012767,1.2314776358082156e-05
lNONHSAG030194,1.2297117446986331e-05
lNONHSAG035914,1.228804263766669e-05
lNONHSAG027985,1.2259968255947338e-05
lNONHSAG032447,1.2242038555167021e-05
lNONHSAG030169,1.2228316623431074e-05
lNONHSAG056029,1.2205674567149563e-05
lNONHSAG006966,1.220550355601316e-05
lNONHSAG032072,1.2192107725760186e-05
lNONHSAG047220,1.218967322539974e-05
lNONHSAG046774,1.2176021255929774e-05
lNONHSAG037761,1.2160008152126554e-05
lNONHSAG050292,1.2125383839574677e-05
lNONHSAG038926,1.2086955152417392e-05
lNONHSAG050557,1.2085303107617307e-05
lNONHSAG018475,1.2070861256076664e-05
lNONHSAG040483,1.204701892659582e-05
lNONHSAG020213,1.204654426159699e-05
lNONHSAG006438,1.2027817114634637e-05
lNONHSAG034317,1.202187944930126e-05
lNONHSAG011286,1.1996880706642646e-05
lNONHSAG039497,1.19879560316151e-05
lNONHSAG001815,1.1937026971607284e-05
lNONHSAG040100,1.1930492824273457e-05
lNONHSAG024264,1.1916816334770517e-05
lNONHSAG049541,1.1892893567452755e-05
lNONHSAG051141,1.187306165938118e-05
lNONHSAG007643,1.1871578048990724e-05
lNONHSAG023313,1.184669800578233e-05
lNONHSAG026095,1.18231662301897e-05
lNONHSAG006263,1.1792308421076e-05
lNONHSAG014591,1.1781619434822477e-05
lNONHSAG015852,1.1769948970169463e-05
lNONHSAG007998,1.175307463566449e-05
lNONHSAG014799,1.1750237992547439e-05
lENSG00000264772,1.1749184333411667e-05
lNONHSAG033519,1.174799147787024e-05
lNONHSAG027323,1.1737513841906949e-05
lNONHSAG091452,1.1734456396163398e-05
lNONHSAG042273,1.1731096684485308e-05
lNONHSAG041153,1.1703612905025578e-05
lENSG00000236449,1.1696785035293395e-05
lNONHSAG001722,1.1685572759243641e-05
lNONHSAG048194,1.1668382280375682e-05
lNONHSAG033690,1.165100945686626e-05
lNONHSAG049580,1.162382972647249e-05
lNONHSAG017666,1.1614006384373474e-05
lNONHSAG032551,1.1598859722075575e-05
lNONHSAG017628,1.1590215175508195e-05
lNONHSAG047189,1.1561531155264669e-05
lNONHSAG010716,1.1550008373160207e-05
lNONHSAG045035,1.1549319813429412e-05
lNONHSAG015788,1.1541230343008914e-05
lNONHSAG036403,1.1536726386054558e-05
lNONHSAG034410,1.1523199657084486e-05
lNONHSAG051736,1.1521785354298841e-05
lNONHSAG040216,1.1510049303181526e-05
lNONHSAG022649,1.1509994299526639e-05
lNONHSAG040987,1.1497699837580484e-05
lNONHSAG024205,1.1466172728609046e-05
lNONHSAG014096,1.1457753200050932e-05
lNONHSAG035685,1.1455655811153248e-05
lNONHSAG085327,1.145490054446139e-05
lNONHSAG034486,1.1447301222148911e-05
lNONHSAG004313,1.1400807598955691e-05
lNONHSAG000626,1.1387335170840146e-05
lNONHSAG013445,1.1384266033341628e-05
lNONHSAG035995,1.1382848580584231e-05
lNONHSAG013921,1.1379214229973031e-05
lNONHSAG034895,1.1367332592582516e-05
lJPX,1.1354016266485161e-05
lNONHSAG039416,1.1344913784978212e-05
lNONHSAG026461,1.1336029450882631e-05
lNONHSAG031279,1.1325496609123355e-05
lNONHSAG032603,1.1310729644909405e-05
lNONHSAG001692,1.1290061247688018e-05
lNONHSAG032157,1.1288889729266112e-05
lNONHSAG032601,1.1280992612911808e-05
lNONHSAG037411,1.1279303162890855e-05
lNONHSAG026274,1.1271174996247584e-05
lNONHSAG014129,1.127006858480337e-05
lENSG00000259053,1.1269887281592171e-05
lNONHSAG041240,1.126936514235377e-05
lNONHSAG043329,1.1257028198298345e-05
lNONHSAG049050,1.1256576377988586e-05
lNONHSAG008952,1.1232077827909612e-05
lNONHSAG021978,1.1219960940250277e-05
lNONHSAG031429,1.1213601308450539e-05
lNONHSAG022009,1.1209917766251116e-05
lNONHSAG017830,1.1191865649747904e-05
lNONHSAG013732,1.1191303276984223e-05
lNONHSAG035838,1.1190479962695975e-05
lNONHSAG024350,1.1185345288147016e-05
lNONHSAG035319,1.117319500574965e-05
