lncRNA,score
lNONMMUG035674,0.0002744339840163431
lNONMMUG003412,0.000273127759124055
lNONMMUG041573,0.0002721125861048237
lNONMMUG009283,0.00026960007660679913
lNONMMUG030863,0.0002621515861581574
lNONMMUG044335,0.0002607668465750464
lNONMMUG021481,0.0002606999114433529
lNONMMUG030337,0.00025951756241338953
lNONMMUG023357,0.0002584438858624811
lNONMMUG017792,0.00025768903272202585
lNONMMUG013377,0.00025412765371615867
lNONMMUG009540,0.00025270206195523613
lNONMMUG027241,0.0002515222668983535
lNONMMUG030555,0.0002501098552593515
lNONMMUG003978,0.00024940657791147077
lNONMMUG030406,0.0002475624925694443
lNONMMUG033450,0.00024745519882102794
lNONMMUG004307,0.00024329376045823808
lNONMMUG005910,0.0002420858992485917
lNONMMUG016654,0.00024208420096596332
lNONMMUG024131,0.0002393536342489833
lNONMMUG019605,0.00023890779427917982
lNONMMUG010674,0.00023859810259482721
lNONMMUG042164,0.00023852360242194588
lNONMMUG024680,0.00023806066956446714
lNONMMUG039915,0.0002374859548076894
lNONMMUG034261,0.0002362185858624597
l5430416N02Rik,0.0002346511459655198
lNONMMUG028575,0.0002320859306217492
lNONMMUG005626,0.00023025155135303671
lNONMMUG007460,0.00022943224795460494
lNONMMUG025318,0.00022857212440303658
lNONMMUG035415,0.00022585623185378614
lNONMMUG036752,0.0002242639944297629
lNONMMUG028984,0.00022365232763466716
lNONMMUG036546,0.0002183816816137985
lNONMMUG040034,0.0002095059576809483
lNONMMUG022934,0.00020689618600641012
lNONMMUG032146,0.0002053257935235081
lNONMMUG005901,0.00020149540393830115
lNONMMUG045607,0.00019824837287956386
lNONMMUG046159,0.0001956185515712674
lNONMMUG023040,0.0001956096680208255
lNONMMUG042236,0.00019326704972505446
lNONMMUG045195,0.000191577338407819
lNONMMUG010559,0.0001905680031741361
lNONMMUG043118,0.00019011772200974727
lMalat1,0.0001900563765135547
lNONMMUG028494,0.00018705740180940305
lNONMMUG044532,0.00018557275909248294
lNONMMUG040983,0.00018557253805413118
lFtx,0.00018522603221720902
lNONMMUG045568,0.00018388699114276405
lNONMMUG018236,0.0001833040178581598
lNONMMUG003416,0.00018329030997512298
lNONMMUG007197,0.00018240424696774185
lNONMMUG025108,0.000179869311602289
lNONMMUG021777,0.000179509611547963
lNONMMUG024209,0.0001792738308845157
lGm12680,0.0001785559827221636
lNONMMUG001449,0.0001772951552864966
lNONMMUG006176,0.00017717687266746195
