lncRNA_id,identifier,gene_name,gene_id
lNONMMUG008366,NONMMUG008366,NONMMUG008366,NONMMUG008366
lNONMMUG008369,NONMMUG008369,NONMMUG008369,NONMMUG008369
lNONMMUG008370,NONMMUG008370,NONMMUG008370,NONMMUG008370
lNONMMUG008371,NONMMUG008371,NONMMUG008371,NONMMUG008371
lNONMMUG008372,NONMMUG008372,NONMMUG008372,NONMMUG008372
lNONMMUG008373,NONMMUG008373,NONMMUG008373,NONMMUG008373
lNONMMUG008378,NONMMUG008378,Gm9071,NONMMUG008378
lNONMMUG008379,NONMMUG008379,NONMMUG008379,NONMMUG008379
lNONMMUG008380,NONMMUG008380,1700012B15Rik,NONMMUG008380
lNONMMUG008381,NONMMUG008381,NONMMUG008381,NONMMUG008381
lNONMMUG008382,NONMMUG008382,NONMMUG008382,NONMMUG008382
lNONMMUG008383,NONMMUG008383,NONMMUG008383,NONMMUG008383
lNONMMUG008384,NONMMUG008384,NONMMUG008384,NONMMUG008384
lNONMMUG008385,NONMMUG008385,NONMMUG008385,NONMMUG008385
lNONMMUG008386,NONMMUG008386,AC160138.1,NONMMUG008386
lNONMMUG008387,NONMMUG008387,NONMMUG008387,NONMMUG008387
lNONMMUG008388,NONMMUG008388,NONMMUG008388,NONMMUG008388
lNONMMUG008389,NONMMUG008389,NONMMUG008389,NONMMUG008389
lNONMMUG008390,NONMMUG008390,NONMMUG008390,NONMMUG008390
lNONMMUG008391,NONMMUG008391,NONMMUG008391,NONMMUG008391
lNONMMUG008392,NONMMUG008392,NONMMUG008392,NONMMUG008392
lNONMMUG008393,NONMMUG008393,NONMMUG008393,NONMMUG008393
lNONMMUG008394,NONMMUG008394,NONMMUG008394,NONMMUG008394
lNONMMUG008395,NONMMUG008395,NONMMUG008395,NONMMUG008395
lNONMMUG008396,NONMMUG008396,NONMMUG008396,NONMMUG008396
lNONMMUG008397,NONMMUG008397,NONMMUG008397,NONMMUG008397
lNONMMUG008398,NONMMUG008398,NONMMUG008398,NONMMUG008398
lNONMMUG008401,NONMMUG008401,Gm20448,NONMMUG008401
lNONMMUG008403,NONMMUG008403,NONMMUG008403,NONMMUG008403
lNONMMUG008404,NONMMUG008404,Dnmt3a,NONMMUG008404
lNONMMUG008405,NONMMUG008405,Gm10485,NONMMUG008405
lNONMMUG008407,NONMMUG008407,NONMMUG008407,NONMMUG008407
lNONMMUG008408,NONMMUG008408,NONMMUG008408,NONMMUG008408
lNONMMUG008409,NONMMUG008409,NONMMUG008409,NONMMUG008409
lNONMMUG008410,NONMMUG008410,NONMMUG008410,NONMMUG008410
lNONMMUG008411,NONMMUG008411,NONMMUG008411,NONMMUG008411
lNONMMUG008412,NONMMUG008412,NONMMUG008412,NONMMUG008412
lNONMMUG008415,NONMMUG008415,NONMMUG008415,NONMMUG008415
lNONMMUG008416,NONMMUG008416,NONMMUG008416,NONMMUG008416
lNONMMUG008417,NONMMUG008417,NONMMUG008417,NONMMUG008417
lNONMMUG008418,NONMMUG008418,Gm22343,NONMMUG008418
lNONMMUG008419,NONMMUG008419,NONMMUG008419,NONMMUG008419
lNONMMUG008420,NONMMUG008420,NONMMUG008420,NONMMUG008420
lNONMMUG008421,NONMMUG008421,RPI002_008911,NONMMUG008421
lNONMMUG008423,NONMMUG008423,NONMMUG008423,NONMMUG008423
lNONMMUG008424,NONMMUG008424,NONMMUG008424,NONMMUG008424
lNONMMUG008425,NONMMUG008425,NONMMUG008425,NONMMUG008425
lNONMMUG008426,NONMMUG008426,NONMMUG008426,NONMMUG008426
lNONMMUG008427,NONMMUG008427,NONMMUG008427,NONMMUG008427
lNONMMUG008428,NONMMUG008428,NONMMUG008428,NONMMUG008428
lNONMMUG008429,NONMMUG008429,NONMMUG008429,NONMMUG008429
lNONMMUG008430,NONMMUG008430,NONMMUG008430,NONMMUG008430
lNONMMUG008431,NONMMUG008431,NONMMUG008431,NONMMUG008431
lNONMMUG008432,NONMMUG008432,NONMMUG008432,NONMMUG008432
lNONMMUG008433,NONMMUG008433,NONMMUG008433,NONMMUG008433
lNONMMUG008434,NONMMUG008434,NONMMUG008434,NONMMUG008434
lNONMMUG008435,NONMMUG008435,NONMMUG008435,NONMMUG008435
lNONMMUG008436,NONMMUG008436,NONMMUG008436,NONMMUG008436
lNONMMUG008438,NONMMUG008438,NONMMUG008438,NONMMUG008438
lNONMMUG008439,NONMMUG008439,NONMMUG008439,NONMMUG008439
lNONMMUG008440,NONMMUG008440,NONMMUG008440,NONMMUG008440
lNONMMUG008441,NONMMUG008441,NONMMUG008441,NONMMUG008441
lNONMMUG008442,NONMMUG008442,NONMMUG008442,NONMMUG008442
lNONMMUG008443,NONMMUG008443,NONMMUG008443,NONMMUG008443
lNONMMUG008444,NONMMUG008444,NONMMUG008444,NONMMUG008444
lNONMMUG008445,NONMMUG008445,NONMMUG008445,NONMMUG008445
lNONMMUG008446,NONMMUG008446,NONMMUG008446,NONMMUG008446
lNONMMUG008447,NONMMUG008447,NONMMUG008447,NONMMUG008447
lNONMMUG008448,NONMMUG008448,NONMMUG008448,NONMMUG008448
lNONMMUG008449,NONMMUG008449,NONMMUG008449,NONMMUG008449
lNONMMUG008450,NONMMUG008450,NONMMUG008450,NONMMUG008450
lNONMMUG008451,NONMMUG008451,NONMMUG008451,NONMMUG008451
lNONMMUG008452,NONMMUG008452,NONMMUG008452,NONMMUG008452
lNONMMUG008453,NONMMUG008453,NONMMUG008453,NONMMUG008453
lNONMMUG008454,NONMMUG008454,NONMMUG008454,NONMMUG008454
lNONMMUG008455,NONMMUG008455,NONMMUG008455,NONMMUG008455
lNONMMUG008457,NONMMUG008457,NONMMUG008457,NONMMUG008457
lNONMMUG008458,NONMMUG008458,NONMMUG008458,NONMMUG008458
lNONMMUG008460,NONMMUG008460,NONMMUG008460,NONMMUG008460
lNONMMUG008461,NONMMUG008461,NONMMUG008461,NONMMUG008461
lNONMMUG008462,NONMMUG008462,NONMMUG008462,NONMMUG008462
lNONMMUG008463,NONMMUG008463,NONMMUG008463,NONMMUG008463
lNONMMUG008464,NONMMUG008464,NONMMUG008464,NONMMUG008464
lNONMMUG008465,NONMMUG008465,NONMMUG008465,NONMMUG008465
lNONMMUG008468,NONMMUG008468,NONMMUG008468,NONMMUG008468
lNONMMUG008470,NONMMUG008470,NONMMUG008470,NONMMUG008470
lNONMMUG008471,NONMMUG008471,NONMMUG008471,NONMMUG008471
lNONMMUG008472,NONMMUG008472,NONMMUG008472,NONMMUG008472
lNONMMUG008473,NONMMUG008473,NONMMUG008473,NONMMUG008473
lNONMMUG008478,NONMMUG008478,NONMMUG008478,NONMMUG008478
lNONMMUG008479,NONMMUG008479,NONMMUG008479,NONMMUG008479
lNONMMUG008481,NONMMUG008481,RPI002_007997,NONMMUG008481
lNONMMUG008484,NONMMUG008484,NONMMUG008484,NONMMUG008484
lNONMMUG008485,NONMMUG008485,AC110382.1,NONMMUG008485
lNONMMUG008489,NONMMUG008489,NONMMUG008489,NONMMUG008489
lNONMMUG008490,NONMMUG008490,NONMMUG008490,NONMMUG008490
lNONMMUG008491,NONMMUG008491,NONMMUG008491,NONMMUG008491
lNONMMUG008494,NONMMUG008494,NONMMUG008494,NONMMUG008494
lNONMMUG008495,NONMMUG008495,NONMMUG008495,NONMMUG008495
lNONMMUG008500,NONMMUG008500,NONMMUG008500,NONMMUG008500
lNONMMUG008502,NONMMUG008502,NONMMUG008502,NONMMUG008502
lNONMMUG008504,NONMMUG008504,NONMMUG008504,NONMMUG008504
lNONMMUG008505,NONMMUG008505,NONMMUG008505,NONMMUG008505
lNONMMUG008506,NONMMUG008506,NONMMUG008506,NONMMUG008506
lNONMMUG008507,NONMMUG008507,NONMMUG008507,NONMMUG008507
lNONMMUG008510,NONMMUG008510,NONMMUG008510,NONMMUG008510
lNONMMUG008511,NONMMUG008511,NONMMUG008511,NONMMUG008511
lNONMMUG008512,NONMMUG008512,NONMMUG008512,NONMMUG008512
lNONMMUG008514,NONMMUG008514,NONMMUG008514,NONMMUG008514
lNONMMUG008517,NONMMUG008517,NONMMUG008517,NONMMUG008517
lNONMMUG008518,NONMMUG008518,NONMMUG008518,NONMMUG008518
lNONMMUG008519,NONMMUG008519,NONMMUG008519,NONMMUG008519
lNONMMUG008520,NONMMUG008520,NONMMUG008520,NONMMUG008520
lNONMMUG008521,NONMMUG008521,RPI002_013849,NONMMUG008521
lNONMMUG008522,NONMMUG008522,RPI002_013851,NONMMUG008522
lNONMMUG008525,NONMMUG008525,Gm17337,NONMMUG008525
lNONMMUG008526,NONMMUG008526,NONMMUG008526,NONMMUG008526
lNONMMUG008529,NONMMUG008529,RPI002_008989,NONMMUG008529
lNONMMUG008534,NONMMUG008534,NONMMUG008534,NONMMUG008534
lNONMMUG008535,NONMMUG008535,NONMMUG008535,NONMMUG008535
lNONMMUG008536,NONMMUG008536,NONMMUG008536,NONMMUG008536
lNONMMUG008537,NONMMUG008537,NONMMUG008537,NONMMUG008537
lNONMMUG008538,NONMMUG008538,NONMMUG008538,NONMMUG008538
lNONMMUG008539,NONMMUG008539,NONMMUG008539,NONMMUG008539
lNONMMUG008540,NONMMUG008540,NONMMUG008540,NONMMUG008540
lNONMMUG008541,NONMMUG008541,NONMMUG008541,NONMMUG008541
lNONMMUG008543,NONMMUG008543,NONMMUG008543,NONMMUG008543
lNONMMUG008544,NONMMUG008544,NONMMUG008544,NONMMUG008544
lNONMMUG008546,NONMMUG008546,NONMMUG008546,NONMMUG008546
lNONMMUG008547,NONMMUG008547,NONMMUG008547,NONMMUG008547
lNONMMUG008551,NONMMUG008551,AC159622.1,NONMMUG008551
lNONMMUG008553,NONMMUG008553,NONMMUG008553,NONMMUG008553
lNONMMUG008556,NONMMUG008556,NONMMUG008556,NONMMUG008556
lNONMMUG008559,NONMMUG008559,NONMMUG008559,NONMMUG008559
lNONMMUG008561,NONMMUG008561,NONMMUG008561,NONMMUG008561
lNONMMUG008563,NONMMUG008563,NONMMUG008563,NONMMUG008563
lNONMMUG008564,NONMMUG008564,NONMMUG008564,NONMMUG008564
lNONMMUG008565,NONMMUG008565,NONMMUG008565,NONMMUG008565
lNONMMUG008566,NONMMUG008566,NONMMUG008566,NONMMUG008566
lNONMMUG008572,NONMMUG008572,NONMMUG008572,NONMMUG008572
lNONMMUG008573,NONMMUG008573,NONMMUG008573,NONMMUG008573
lNONMMUG008574,NONMMUG008574,NONMMUG008574,NONMMUG008574
lNONMMUG008575,NONMMUG008575,NONMMUG008575,NONMMUG008575
lNONMMUG008576,NONMMUG008576,NONMMUG008576,NONMMUG008576
lNONMMUG008578,NONMMUG008578,NONMMUG008578,NONMMUG008578
lNONMMUG008579,NONMMUG008579,NONMMUG008579,NONMMUG008579
lNONMMUG008587,NONMMUG008587,RPI002_013724,NONMMUG008587
lNONMMUG008589,NONMMUG008589,NONMMUG008589,NONMMUG008589
lNONMMUG008590,NONMMUG008590,NONMMUG008590,NONMMUG008590
lNONMMUG008598,NONMMUG008598,NONMMUG008598,NONMMUG008598
lNONMMUG008599,NONMMUG008599,RPI002_009604,NONMMUG008599
lNONMMUG008600,NONMMUG008600,NONMMUG008600,NONMMUG008600
lNONMMUG008602,NONMMUG008602,NONMMUG008602,NONMMUG008602
lNONMMUG008604,NONMMUG008604,NONMMUG008604,NONMMUG008604
lNONMMUG008605,NONMMUG008605,NONMMUG008605,NONMMUG008605
lNONMMUG008609,NONMMUG008609,Gm10478,NONMMUG008609
lNONMMUG008610,NONMMUG008610,NONMMUG008610,NONMMUG008610
lNONMMUG008611,NONMMUG008611,NONMMUG008611,NONMMUG008611
lNONMMUG008613,NONMMUG008613,Gm20535,NONMMUG008613
lNONMMUG008614,NONMMUG008614,NONMMUG008614,NONMMUG008614
lNONMMUG008618,NONMMUG008618,NONMMUG008618,NONMMUG008618
lNONMMUG008619,NONMMUG008619,NONMMUG008619,NONMMUG008619
lNONMMUG008620,NONMMUG008620,NONMMUG008620,NONMMUG008620
lNONMMUG008621,NONMMUG008621,NONMMUG008621,NONMMUG008621
lNONMMUG008622,NONMMUG008622,AC140457.1,NONMMUG008622
lNONMMUG008625,NONMMUG008625,NONMMUG008625,NONMMUG008625
lNONMMUG008626,NONMMUG008626,NONMMUG008626,NONMMUG008626
lNONMMUG008632,NONMMUG008632,2410018L13Rik,NONMMUG008632
lNONMMUG008639,NONMMUG008639,RPI002_009001,NONMMUG008639
lNONMMUG008642,NONMMUG008642,NONMMUG008642,NONMMUG008642
lNONMMUG008646,NONMMUG008646,NONMMUG008646,NONMMUG008646
lNONMMUG008652,NONMMUG008652,NONMMUG008652,NONMMUG008652
lNONMMUG008653,NONMMUG008653,NONMMUG008653,NONMMUG008653
lNONMMUG008655,NONMMUG008655,NONMMUG008655,NONMMUG008655
