lncRNA_id,protein,edge_weight
l1700028P15Rik,Pou5f1,1
l1700029M20Rik,DAZL,1
l1700029M20Rik,Ptbp2,1
l1700029M20Rik,RFOX2,1
l1700030C12Rik,RFOX2,1
l1700030G06Rik,-,2
l1700030G06Rik,AGO1,1
l1700030G06Rik,AGO2,3
l1700030G06Rik,AGO4,1
l1700030G06Rik,CBX7,1
l1700030G06Rik,DAZL,1
l1700030G06Rik,Elavl1,1
l1700030G06Rik,KPYM,1
l1700030G06Rik,PABP1,1
l1700030G06Rik,Pou5f1,1
l1700030G06Rik,Ptbp2,1
l1700030G06Rik,QKI,1
l1700030G06Rik,RBM10,1
l1700030G06Rik,RFOX2,1
l1700030G06Rik,SFPQ,1
l1700030G06Rik,TIA1,1
l1700030G06Rik,TTP,2
l1700030G06Rik,TYY1,1
l1700030G06Rik,VIGLN,1
l1700030K09Rik,Fus,1
l1700030K09Rik,Mbnl1,1
l1700030K09Rik,Upf1,1
l1700034P13Rik,DAZL,1
l1700034P13Rik,Elavl1,1
l1700034P13Rik,KPYM,1
l1700034P13Rik,PABP1,1
l1700034P13Rik,Pou5f1,1
l1700034P13Rik,Ptbp2,1
l1700034P13Rik,QKI,1
l1700034P13Rik,RFOX2,1
l1700034P13Rik,SFPQ,1
l1700034P13Rik,TTP,1
l1700034P13Rik,TYY1,1
l1700034P13Rik,VIGLN,1
l1700037C18Rik,Ezh2,1
l1700037C18Rik,FMRP,1
l1700037C18Rik,Fus,2
l1700037C18Rik,PABPC1,1
l1700037C18Rik,Tdp43,1
l1700037H04Rik,Ezh2,1
l1700037H04Rik,Fus,2
l1700037H04Rik,Tdp43,1
l1700037H04Rik,Upf1,1
l1700040D17Rik,DAZL,1
l1700040D17Rik,FMR1,1
l1700040D17Rik,Pou5f1,1
l1700040D17Rik,Ptbp2,1
l1700040D17Rik,RFOX2,1
l1700040D17Rik,TYY1,1
l1700040E09Rik,Rbfox3,1
l1700040N02Rik,AGO2,1
l1700040N02Rik,KPYM,1
l1700040N02Rik,Pou5f1,1
l1700040N02Rik,Ptbp2,1
l1700040N02Rik,QKI,1
l1700040N02Rik,RFOX2,1
l1700040N02Rik,SFPQ,1
l1700040N02Rik,TTP,1
l1700040N02Rik,TYY1,1
l1700045I19Rik,Ptbp2,1
l1700045I19Rik,RFOX2,1
l1700046C09Rik,AGO2,1
l1700046C09Rik,FMR1,1
l1700046C09Rik,Pou5f1,1
l1700046C09Rik,Ptbp2,1
l1700046C09Rik,RFOX2,1
l1700046C09Rik,SFPQ,1
l1700049G17Rik,Fus,2
l1700049G17Rik,Tdp43,1
l1700057G04Rik,FMRP,1
l1700057G04Rik,Rbfox3,1
l1700058G18Rik,Pou5f1,1
l1700058G18Rik,TYY1,1
l1700060C16Rik,AGO2,1
l1700060C16Rik,PABP1,1
l1700060C16Rik,Pou5f1,1
l1700060C16Rik,QKI,1
l1700060C16Rik,RFOX2,1
l1700060C16Rik,TYY1,1
l1700061E18Rik,Pou5f1,1
l1700061F12Rik,RFOX2,1
l1700061H18Rik,PABP1,1
l1700061H18Rik,Pou5f1,1
l1700061H18Rik,Ptbp2,1
l1700061H18Rik,RFOX2,1
l1700061H18Rik,SFPQ,1
l1700061H18Rik,TIA1,1
l1700061H18Rik,TYY1,1
l1700064E03Rik,PABP1,1
l1700064E03Rik,PSPC1,1
l1700064E03Rik,RBM10,1
l1700064E03Rik,RFOX2,1
l1700066J03Rik,RFOX2,1
l1700066J24Rik,-,1
l1700066J24Rik,FMR1,1
l1700066J24Rik,Nova1,1
l1700066J24Rik,PABP1,1
l1700066J24Rik,SFPQ,1
l1700066O22Rik,DAZL,1
l1700066O22Rik,Pou5f1,1
l1700066O22Rik,Ptbp2,1
l1700066O22Rik,RFOX2,1
l1700066O22Rik,TYY1,1
l1700069L16Rik,Upf1,1
l1700081H22Rik,Elavl1,1
l1700081H22Rik,PABP1,1
l1700081H22Rik,Pou5f1,1
l1700081H22Rik,RFOX2,1
l1700081H22Rik,TYY1,1
l1700085B03Rik,PABP1,1
l1700085B03Rik,Pou5f1,1
l1700085B03Rik,QKI,1
l1700085B03Rik,RFOX2,1
l1700085B03Rik,TYY1,1
l1700085D07Rik,Rbfox3,2
l1700086O06Rik,AGO2,1
l1700086O06Rik,PABP1,1
l1700086O06Rik,RBM10,1
l1700086O06Rik,RFOX2,1
l1700086O06Rik,SFPQ,1
l1700086O06Rik,TIA1,1
l1700091E21Rik,-,1
l1700091E21Rik,AGO1,1
l1700091E21Rik,AGO2,2
l1700091E21Rik,AGO4,1
l1700091E21Rik,Elavl1,1
l1700091E21Rik,FMR1,1
l1700091E21Rik,KPYM,1
l1700091E21Rik,Nova1,1
l1700091E21Rik,PABP1,1
l1700091E21Rik,PSPC1,1
l1700091E21Rik,Pou5f1,1
l1700091E21Rik,Ptbp2,1
l1700091E21Rik,RFOX2,1
l1700091E21Rik,SFPQ,1
l1700091E21Rik,TYY1,1
l1700091E21Rik,VIGLN,1
l1700092C02Rik,RFOX2,1
l1700092C10Rik,Pou5f1,1
l1700092C17Rik,RFOX2,1
l1700092E19Rik,Ptbp2,1
l1700092E19Rik,RFOX2,1
l1700094C10Rik,-,1
l1700094C10Rik,Elavl1,1
l1700094C10Rik,PABP1,1
l1700094C10Rik,RFOX2,1
l1700094C10Rik,SFPQ,1
l1700094C10Rik,TIA1,1
l1700094C10Rik,TTP,1
l1700094C10Rik,TYY1,1
l1700094C10Rik,VIGLN,1
l1700099I09Rik,TIA1,1
l1700102J08Rik,Rbfox3,2
l1700104A03Rik,DAZL,1
l1700104A03Rik,Elavl1,1
l1700104A03Rik,FMR1,1
l1700104A03Rik,Pou5f1,1
l1700104A03Rik,Ptbp2,1
l1700104A03Rik,QKI,1
l1700104A03Rik,RFOX2,1
l1700104A03Rik,TYY1,1
l1700109F18Rik,DAZL,1
l1700109F18Rik,Elavl1,1
l1700109F18Rik,PABP1,1
l1700109F18Rik,Ptbp2,1
l1700109F18Rik,RFOX2,1
l1700109F18Rik,TYY1,1
l1700109F18Rik,VIGLN,1
l1700109K24Rik,-,1
l1700109K24Rik,AGO2,1
l1700109K24Rik,Pou5f1,1
l1700109K24Rik,RBM10,1
l1700109K24Rik,RFOX2,1
l1700109K24Rik,SFPQ,1
l1700109K24Rik,TIA1,1
l1700112D23Rik,AGO1,1
l1700112D23Rik,AGO2,2
l1700112D23Rik,AGO4,1
l1700112D23Rik,DAZL,1
l1700112D23Rik,FMRP,1
l1700112D23Rik,Fus,2
l1700112D23Rik,JARID2,1
l1700112D23Rik,PABP1,1
l1700112D23Rik,Pou5f1,1
l1700112D23Rik,Ptbp2,1
l1700112D23Rik,RFOX2,1
l1700112D23Rik,SFPQ,1
l1700112D23Rik,TTP,2
l1700112D23Rik,TYY1,1
l1700112D23Rik,Tdp43,1
l1700112D23Rik,Upf1,1
l1700112D23Rik,VIGLN,1
l1700112E06Rik,Ezh2,1
l1700112E06Rik,Fus,2
l1700112E06Rik,Mbnl1,1
l1700112E06Rik,Rbfox3,1
l1700112E06Rik,Tdp43,1
l1700112E06Rik,Upf1,1
l1700112J16Rik,AGO2,1
l1700112J16Rik,Pou5f1,1
l1700112J16Rik,Ptbp2,1
l1700112J16Rik,RFOX2,1
l1700112M01Rik,AGO1,1
l1700112M01Rik,AGO2,1
l1700112M01Rik,AGO4,1
l1700112M01Rik,PABP1,1
l1700112M01Rik,Ptbp2,1
l1700112M01Rik,RFOX2,1
l1700112M01Rik,SFPQ,1
l1700112M01Rik,TIA1,1
l1700112M01Rik,TYY1,1
l1700113A16Rik,AGO1,1
l1700113A16Rik,AGO2,1
l1700113A16Rik,AGO4,1
l1700113A16Rik,PABP1,1
l1700113A16Rik,RFOX2,1
l1700113A16Rik,SFPQ,1
l1700113A16Rik,TTP,1
l1700121F15Rik,PABP1,1
l1700121F15Rik,RFOX2,1
l1700121F15Rik,TIA1,1
l1700121F15Rik,TTP,1
l1700122E12Rik,PABP1,1
l1700125G22Rik,Pou5f1,1
l1700125G22Rik,RFOX2,1
l1700128E19Rik,AGO1,1
l1700128E19Rik,AGO2,1
l1700128E19Rik,AGO4,1
l1810009N23Rik,PABP1,1
l1810009N23Rik,RFOX2,1
l1810010H24Rik,PABP1,1
l1810010K12Rik,KPYM,1
l1810010K12Rik,RFOX2,1
l1810014B01Rik,AGO1,1
l1810014B01Rik,AGO2,3
l1810014B01Rik,AGO4,1
l1810014B01Rik,DAZL,1
l1810014B01Rik,Elavl1,1
l1810014B01Rik,KPYM,1
l1810014B01Rik,MSI2H,1
l1810014B01Rik,PABP1,1
l1810014B01Rik,PSPC1,1
l1810014B01Rik,Ptbp2,1
l1810014B01Rik,RBM10,1
l1810014B01Rik,RFOX2,1
l1810014B01Rik,SFPQ,1
l1810014B01Rik,TIA1,1
l1810014B01Rik,TTP,2
l1810015C04Rik,Mbnl1,1
l1810019D21Rik,TIA1,1
l1810019D21Rik,TYY1,1
l1810019N24Rik,Elavl1,1
l1810019N24Rik,PABP1,1
l1810019N24Rik,Ptbp2,1
l1810019N24Rik,RFOX2,1
l1810019N24Rik,TTP,1
l1810019N24Rik,VIGLN,1
l1810020O05Rik,Pou5f1,1
l1810020O05Rik,Ptbp2,1
l1810020O05Rik,RFOX2,1
l1810024B03Rik,Fus,1
l1810032O08Rik,Cpsf6,1
l1810032O08Rik,Fus,1
l1810032O08Rik,JARID2,1
l1810034E14Rik,-,1
l1810034E14Rik,AGO1,1
l1810034E14Rik,AGO2,1
l1810034E14Rik,AGO4,1
l1810034E14Rik,Pou5f1,1
l1810034E14Rik,RFOX2,1
l1810034E14Rik,SFPQ,1
l1810034E14Rik,TTP,1
l1810034E14Rik,TYY1,1
l1810035I16Rik,KPYM,1
l1810035I16Rik,PSPC1,1
l1810035I16Rik,RFOX2,1
l1810035I16Rik,SUZ12,1
l1810043G02Rik,FMRP,1
l1810043G02Rik,Fus,2
l1810043G02Rik,Tdp43,1
l1810058N05Rik,-,1
l1810058N05Rik,PABP1,1
l1810058N05Rik,RFOX2,1
l1810063I02Rik,TYY1,1
l2010003O02Rik,AGO2,1
l2010003O02Rik,DAZL,1
l2010003O02Rik,FMRP,1
l2010003O02Rik,Fus,1
l2010003O02Rik,PABP1,1
l2010003O02Rik,PABPC1,1
l2010003O02Rik,Ptbp2,1
l2010003O02Rik,RFOX2,1
l2010003O02Rik,TIA1,1
l2010003O02Rik,Upf1,1
l2010012P19Rik,AGO1,1
l2010012P19Rik,AGO2,1
l2010012P19Rik,AGO4,1
l2010012P19Rik,Celf1,1
l2010012P19Rik,Ezh2,1
l2010012P19Rik,Fus,2
l2010012P19Rik,KPYM,1
l2010012P19Rik,Pou5f1,1
l2010012P19Rik,RFOX2,1
l2010012P19Rik,SFPQ,1
l2010012P19Rik,TTP,1
l2010012P19Rik,TYY1,1
l2010012P19Rik,Tdp43,1
l2010012P19Rik,Upf1,1
l2010015L04Rik,Ezh2,1
l2010015L04Rik,Fus,2
l2010015L04Rik,Tdp43,1
l2010015M23Rik,DAZL,1
l2010015M23Rik,PABP1,1
l2010015M23Rik,SFPQ,1
l2010015M23Rik,TTP,1
l2010015M23Rik,VIGLN,1
l2010107G23Rik,Tdp43,1
l2010110K18Rik,PABP1,1
l2010110K18Rik,Pou5f1,1
l2010110K18Rik,TYY1,1
l2010110K18Rik,VIGLN,1
l2010300F17Rik,-,1
l2010300F17Rik,Elavl1,1
l2010300F17Rik,RFOX2,1
l2010300F17Rik,TYY1,1
l2010300F17Rik,VIGLN,1
l2200002D01Rik,Upf1,1
l2210016L21Rik,Fus,1
l2210416O15Rik,SFPQ,1
l2210417A02Rik,PABP1,1
l2210417K05Rik,PABP1,1
l2210417K05Rik,Ptbp2,1
l2210417K05Rik,RFOX2,1
l2210417K05Rik,SFPQ,1
l2310001H17Rik,AGO1,1
l2310001H17Rik,AGO2,1
l2310001H17Rik,AGO4,1
l2310001H17Rik,KPYM,1
l2310001H17Rik,PABP1,1
l2310001H17Rik,Pou5f1,1
l2310001H17Rik,RFOX2,1
l2310001H17Rik,TTP,1
l2310001H17Rik,TYY1,1
l2310001H17Rik,VIGLN,1
l2310002F09Rik,AGO2,1
l2310002F09Rik,FMR1,1
l2310002F09Rik,MSI2H,1
l2310002F09Rik,PABP1,1
l2310002F09Rik,PSPC1,1
l2310002F09Rik,QKI,1
l2310002F09Rik,RFOX2,1
l2310002F09Rik,TIA1,1
l2310002F09Rik,TYY1,1
l2310002F09Rik,VIGLN,1
l2310002L09Rik,Celf1,2
l2310003H01Rik,Cpsf6,1
l2310003H01Rik,FMRP,1
l2310003H01Rik,Upf1,1
l2310010G23Rik,PABP1,1
l2310010J17Rik,PABP1,1
l2310010J17Rik,TTP,1
l2310014G06Rik,Mbnl1,1
l2310015A10Rik,PABP1,1
l2310015A10Rik,RFOX2,1
l2310015A10Rik,SFPQ,1
l2310015A10Rik,TTP,1
l2310022M17Rik,Mbnl1,1
l2310026I22Rik,Ptbp2,1
l2310026I22Rik,RFOX2,1
l2310031A07Rik,DAZL,1
l2310031A07Rik,FMR1,1
l2310031A07Rik,PABP1,1
l2310031A07Rik,Pou5f1,1
l2310031A07Rik,QKI,1
l2310031A07Rik,TIA1,1
l2310039E09Rik,Mbnl1,1
l2310043D23Rik,FMR1,2
l2310043D23Rik,PABP1,1
l2310043M15Rik,-,1
l2310043M15Rik,Pou5f1,1
l2310043M15Rik,RFOX2,1
l2310043M15Rik,SFPQ,1
l2310045A20Rik,Mbnl1,1
l2310045A20Rik,Mbnl3,1
l2310050B05Rik,-,1
l2310050B05Rik,AGO2,1
l2310050B05Rik,KPYM,1
l2310050B05Rik,PSPC1,1
l2310050B05Rik,RFOX2,1
l2310050B05Rik,SFPQ,1
l2310050B05Rik,TIA1,1
l2310050B05Rik,VIGLN,1
l2310061I04Rik,Fus,2
l2310061I04Rik,Tdp43,1
l2310067B10Rik,Celf1,2
l2310067B10Rik,Fus,2
l2310067B10Rik,Mbnl3,1
l2310067B10Rik,Tdp43,1
l2310067B10Rik,Upf1,1
l2310069G16Rik,FMR1,1
l2310069G16Rik,Pou5f1,1
l2310069G16Rik,Ptbp2,1
l2310069G16Rik,RFOX2,1
l2310069G16Rik,SFPQ,1
l2310076L09Rik,Mbnl1,1
l2310081O03Rik,KPYM,1
l2310081O03Rik,SFPQ,1
l2410014A08Rik,Mbnl1,1
l2410017P07Rik,Mbnl2,1
l2410018C17Rik,Mbnl1,1
l2410057H14Rik,RFOX2,1
l2410057H14Rik,SFPQ,1
l2410076I21Rik,Fus,2
l2410076I21Rik,Tdp43,1
l2410076I21Rik,Upf1,1
l2410089E03Rik,FMRP,1
l2410089E03Rik,Fus,2
l2410089E03Rik,Mbnl1,1
l2410089E03Rik,Nova1,1
l2410089E03Rik,Tdp43,1
l2410089E03Rik,Upf1,1
l2410127E18Rik,Mbnl1,1
l2410133F24Rik,DAZL,1
l2410133F24Rik,KPYM,1
l2410133F24Rik,PABP1,1
l2410133F24Rik,PSPC1,1
l2410133F24Rik,RBM10,1
l2410133F24Rik,RFOX2,1
l2410133F24Rik,SFPQ,1
l2410133F24Rik,TIA1,1
l2410133F24Rik,TTP,2
l2410133F24Rik,TYY1,1
l2410133F24Rik,VIGLN,1
l2410137F16Rik,-,1
l2410137F16Rik,FMR1,2
l2410137F16Rik,RFOX2,1
l2410137F16Rik,SFPQ,1
l2410137F16Rik,TIA1,1
l2410137F16Rik,TYY1,1
l2410166I05Rik,Mbnl1,1
l2410187C16Rik,Mbnl1,1
l2500002B13Rik,AGO2,1
l2500002B13Rik,KPYM,1
l2500002B13Rik,PABP1,1
l2500002B13Rik,Pou5f1,1
l2500002B13Rik,RBM10,1
l2500002B13Rik,RFOX2,1
l2500002B13Rik,SFPQ,1
l2500002B13Rik,TYY1,1
l2510002D24Rik,Fus,2
l2510002D24Rik,Tdp43,1
l2510003D18Rik,PABP1,1
l2510003D18Rik,PABPC1,1
l2510003D18Rik,RFOX2,1
l2610005L07Rik,-,1
l2610005L07Rik,AGO1,1
l2610005L07Rik,AGO2,2
l2610005L07Rik,AGO4,1
l2610005L07Rik,DAZL,1
l2610005L07Rik,Elavl1,1
l2610005L07Rik,FMR1,1
l2610005L07Rik,KPYM,1
l2610005L07Rik,PABP1,1
l2610005L07Rik,PSPC1,1
l2610005L07Rik,Pou5f1,1
l2610005L07Rik,Ptbp2,1
l2610005L07Rik,QKI,2
l2610005L07Rik,RBM10,1
l2610005L07Rik,RFOX2,1
l2610005L07Rik,SFPQ,1
l2610005L07Rik,TIA1,1
l2610005L07Rik,TTP,1
l2610005L07Rik,TYY1,1
l2610005L07Rik,VIGLN,1
l2610015P09Rik,Fus,2
l2610015P09Rik,Upf1,1
l2610019A05Rik,Mbnl1,1
l2610019A05Rik,Mbnl2,1
l2610019N06Rik,Rbfox3,1
l2610020C07Rik,AGO1,1
l2610020C07Rik,AGO2,1
l2610020C07Rik,AGO4,1
l2610020C07Rik,DAZL,1
l2610020C07Rik,Elavl1,1
l2610020C07Rik,KPYM,1
l2610020C07Rik,PABP1,1
l2610020C07Rik,PSPC1,1
l2610020C07Rik,Ptbp2,1
l2610020C07Rik,RBM10,1
l2610020C07Rik,RFOX2,1
