Protein A,Protein B
Traf6,Tifa
Reps2,Asap1
Asap1,Reps2
Traf6,Ecsit
Ecsit,Traf6
Map3k1,Ecsit
Ecsit,Map3k1
Cftr,Slc4a7
Cftr,Slc9a3r1
Timeless,Per1
Timeless,Per2
Map3k5,Daxx
Arl3,Pde6d
Sufu,Sin3a
Xiap,Map3k2
Cdkn1a,Cdk4
Cdkn1a,Cdk2
Cdkn1a,Ccnd1
Cd151,Rnf128
Eme1,Uhrf1
Eme1,Mus81
Uhrf1,Mus81
Uhrf1,Eme1
Uhrf1,Eme1
Eme1,Uhrf1
Nefl,Trim2
Stat1,Ubc
Npm1,Fbxw7
Npm1,Fbxw7
Tnf,Ripk1
Tnf,Tnfrsf1a
Ntrk1,Trim30a
Ntrk1,Sqstm1
Sqstm1,Ntrk1
Sqstm1,Trim30a
Trim30a,Sqstm1
Mdm2,Rassf1
Mdm2,Trp53
Rassf1,Mdm2
Daxx,Rassf1
Daxx,Mdm2
Daxx,Trp53
Tlr4,Irak1
Tnfrsf1a,Irak1
Il1rap,Irak1
Traf6,Cyld
Cyld,Sqstm1
Syvn1,Ern2
Gsk3b,E2f1
Nfe2l2,Keap1
Nfe2l2,Jund
Nfe2l2,Fos
Nfe2l2,Mafk
Nfe2l2,Nrf1
Il6st,Hgs
Dapk3,Ube2d3
Dapk3,Ube2d1
Dapk3,Ube2d2a
Dapk3,Ube2d3
Trp53,Mdm2
Keap1,Nfe2l2
Stub1,Akt1
Ncor1,Dzip3
Dzip3,Hdac3
Dzip3,Hdac1
Pkd2,Vcp
Pkd2,Psmd7
Pkd2,Herpud1
Herpud1,Pkd2
Traf6,Cyld
Cyld,Sqstm1
Smad3,Gsk3b
Ubb,Polk
Ubc,Polk
Polk,Ubc
Pcna,Polk
Cyld,Ripk1
Ripk1,Ikbkg
Spry2,Tesk1
Ubc,Scnn1g
Ubc,Scnn1b
Ddb1,Trp53
Flt1,Ldlr
Plcg1,Flt1
Cbl,Flt1
Mapt,Hspa8
Mapt,Bag1
Trp53,Mdm2
Mdm2,Trp53
Gpi1,Parp14
Mcl1,Pin1
Tsc2,Tsc1
Tsc1,Tsc2
Hspa2,Nasp
Nasp,Hspa2
Cdk1,Nasp
Cdk1,Hspa2
Nasp,Hspa2
Cdk1,Hspa2
Cdk1,Nasp
Cdk1,Ccnb1
Nasp,Cdk1
Nasp,Hspa2
Ccnb1,Cdk1
Keap1,Nfe2l2
Smarca4,Nr1h4
Smarca2,Nr0b2
Hnf4a,Tcf7l2
Tcf7l2,Hnf4a
Ctnnb1,Tcf7l2
E2f2,Rb1
E2f2,Gata1
Grb2,Met
Mecp2,Atrx
Mecp2,Atrx
Atrx,Mecp2
Egr1,G3bp1
Trp53,Ube2n
Rnf220,Sin3b
Atrx,Smc1a
Atrx,Smc3
Atrx,Mecp2
Smc1a,Mecp2
Smc3,Mecp2
Smc1a,Atrx
Ctcf,Atrx
Mecp2,Atrx
Ezh2,Suz12
Ezh2,Rbbp4
Ezh2,Mtf2
Ezh2,Jarid2
Ezh2,Aebp2
Ezh2,Phf1
Eed,Jarid2
Eed,Suz12
Eed,Ezh2
Eed,Aebp2
Jarid2,Suz12
Jarid2,Ezh2
Jarid2,Aebp2
Jarid2,Eed
Jarid2,Eed
Suz12,Jarid2
Ezh2,Jarid2
Jarid2,Suz12
Jarid2,Ezh2
Suz12,Ezh2
Jarid2,Suz12
Kdm5a,Suz12
Jarid2,Eed
Ezh2,Eed
Suz12,Eed
Ash2l,Tfap2d
Ncoa1,Ep300
Ncoa1,Ep300
Rara,Ncoa1
Itsn1,Cbl
Jun,Itch
Egfr,Eps15
Hdac1,Xpo1
Hdac1,Kif2a
Dnm1,Kif2a
Dnm1,Kif5a
Dnm1,Tuba1a
Irak1,Bcl10
Tlr4,Bcl10
Malt1,Traf6
Map3k7,Malt1
Traf6,Malt1
Bcl10,Malt1
Map3k7,Bcl10
Map3k7,Irak1
Traf6,Irak1
Bcl10,Irak1
Map3k7,Peli2
Amfr,Vcp
Amfr,Ngly1
Ngly1,Amfr
Ngly1,Vcp
Itch,Junb
Kif3a,Ppp1r15a
Ppp1r15a,Kif3a
Dot1l,Mllt1
Dot1l,Ccnt1
Sin3a,Smad4
Hdac1,Smad4
Smad3,Smad4
Nfya,Creb1
Gata1,Creb1
Hdac2,Yy1
Hdac1,Yy1
Yy1,Ep300
Tcerg1,Smn1
Smn1,Tcerg1
Smn1,Snrpb
Tcerg1,Smn1
Prmt5,Sf3b4
Prmt5,Snrpc
Prmt5,Tcerg1
Prmt5,Snrpb
Prmt5,Pabpc1
Prmt5,Hnrnpd
Prmt5,Serbp1
Yy1,Ctcf
Ctcf,Yy1
Bmi1,Dmap1
Bmi1,Dmap1
Notch1,Smarcd3
Rbpj,Smarcd3
Rbpj,Notch1
Nkx2-1,Smarca4
Prmt1,Rbmxl1
Prmt1,Ybx3
Prmt1,Chtop
Prmt1,Hnrnpu
Prmt1,Serbp1
Prmt1,Nop56
Prmt1,Lsm14a
Chtop,Prmt1
Prmt1,Chtop
Prmt5,Chtop
Tal1,Trim27
Tal1,Trim27
Tal1,Trim27
Trim27,Tcf3
Trim27,Ascl1
Trim27,Myod1
Rest,Sp3
Sp3,Rest
Nupr1,Ep300
Nupr1,Ddx5
Ep300,Nupr1
Ddx5,Nupr1
Myod1,Nupr1
Nupr1,Ep300
Nupr1,Ddx5
Crebzf,Esrra
Crebzf,Esrra
Ppargc1a,Esrra
Cbx3,Bahd1
Bahd1,Hdac5
Bahd1,Mbd1
Bahd1,Sp1
Zfpm1,Gata1
Zfpm1,Ctbp1
Zfpm1,Ctbp2
Zfpm1,Kdm1a
Zfpm1,Mta1
Zfpm1,Mta2
Zfpm1,Rbbp7
Zfpm1,Rbbp8
Zfpm1,Hdac2
Zfpm1,Hdac1
Zfpm1,Gata1
Zfpm1,Mta2
Zfpm1,Kdm1a
Zfpm1,Ctbp1
Zfpm1,Ctbp2
Hnf4a,Nr0b1
Nr0b1,Hnf4a
Nr0b1,Hnf4a
Ppia,Hdac1
Ppia,Mbd2
Jun,Esr1
Esr1,Jun
Smad3,Snai1
Smad4,Snai1
Pparg,Men1
Pparg,Men1
Smad3,Hif1a
Lrpprc,Foxo1
Ctcfl,Prmt7
Prmt5,Smarca4
Prmt5,Myod1
Smarca4,Prmt5
Myod1,Prmt5
Parp1,Cenpb
Aebp1,Nfe2
Aebp1,Gmeb2
Ahr,Aip
Alx3,Jdp2
Alx4,Cdx1
Alx4,Cdx2
Alx4,Cdx4
Alx4,Dlx1
Alx4,Dlx2
Alx4,Dlx5
Alx4,Foxh1
Alx4,Foxa1
Alx4,Hoxa10
Alx4,Hoxa11
Alx4,Hoxb13
Alx4,Hoxc4
Alx4,Hoxd12
Alx4,Hoxd13
Alx4,Ldb1
Alx4,Lmx1b
Alx4,Otx2
Alx4,Pax3
Alx4,Prrx1
Alx4,Pou3f4
Alx4,Pou4f2
Alx4,Rax
Alx4,Sox15
Alx4,Sox2
Alx4,Mixl1
Alx4,Tbx21
Alx4,Ercc8
Alx4,Tle6
Alx4,Med16
Alx4,Gtf3c1
Apc,Ctnnb1
Ar,Ncoa2
Ar,Pou2f1
Ar,Tlx3
Arntl,Epas1
Arntl,Hif1a
Arntl,Rnf14
Atf2,Barx2
Atf4,Fos
Atf4,Jun
Atoh1,Runx1t1
Neurod4,Runx1t1
Neurog2,Ascl1
Hnrnpd,Cited4
Bard1,Pcbd1
Barx1,Dlx1
Barx1,Zfp641
Barx2,Creb1
Barx2,Fos
Barx2,Jun
Bcl6b,Bcl6
Bcl6,Ppard
Brca1,Brca2
Brca1,Ewsr1
Brca1,Hoxa2
Brca1,Hoxc12
Brca1,Tcf3
Brca1,Olig1
Brca2,Rad51
Brca2,Rad51b
Zfp36l1,Pcbd1
Btg1,Cnot7
Btg1,Cnot8
Btg2,Cnot8
Ciita,Ewsr1
Ciita,Hoxa2
Ciita,Nfe2
Ciita,Tcf3
Ciita,Cited4
Ciita,Gmeb1
Ciita,Ssbp3
Ciita,Ssbp4
Nr1i3,Rxrg
Runx2,Cbfb
Runx2,Rb1
Runx2,Rbl2
Runx1t1,Id4
Runx1t1,Neurod1
Runx1t1,Neurog1
Runx1t1,Tal2
Cdx1,Dlx1
Cdx1,Nkx2-3
Cdx1,Gtf2e1
Cdx1,Zfp82
Cdx2,Dlx5
Cdx2,Hltf
Cdx2,Zfp292
Cdx4,Dlx1
Cdx4,Gtf2a1l
Cebpa,Ddit3
Cebpa,Jdp2
Cebpd,Rb1
Cebpd,Cers2
Cebpd,Gtf2f1
Cebpd,Zfp277
Cebpg,Jdp2
Cebpg,Atf5
Vsx2,Pax6
Cited1,Cers2
Cops2,Hoxd12
Crebbp,Polr1b
Crebbp,Rxrg
Crebbp,Spi1
Crebbp,Trp53
Crebbp,Cers2
Crebbp,Hdac10
Crebbp,Zfp592
Crebbp,Jade1
Cry1,Timeless
Ctbp1,Hdac2
Ctbp1,Hdac9
Dach1,Six1
Daxx,Creb3l1
Daxx,Dmap1
Dbp,Tef
Dbp,Gtf2h2
Dbp,Jdp2
Dbp,Hlf
Pcbd1,Polr1a
Pcbd1,Srebf1
Pcbd1,Hnf1a
Pcbd1,Hnf1b
Pcbd1,Zfp110
Pcbd1,Asb3
Pcbd1,Ercc8
Pcbd1,Cers2
Pcbd1,Brpf1
Pcbd1,Asb15
Pcbd1,Chd4
Pcbd1,Tle6
Pcbd1,Pawr
Pcbd1,Zdhhc13
Ddit3,Cers2
Dlx1,Dlx2
Dlx1,Foxa1
Dlx1,Hoxb13
Dlx1,Mixl1
Dlx1,Tbx21
Dlx1,Sp7
Dlx2,Msx1
Dlx2,Sp7
Dlx4,Zfp263
Dlx4,Sp7
Dlx5,Hoxb13
Dlx5,Nfe2
Dlx5,Hnf4g
Dlx5,Jdp2
Dlx5,Sp7
Dnmt1,Rela
Dnmt1,Tox3
Dnmt3a,Dnmt3l
E2f1,Ndnl2
E2f1,Tfdp2
E4f1,Nfe2
E4f1,Gmeb2
Ebf1,Ebf4
Ebf3,Ebf4
Eed,Hdac1
Egr1,Nab2
Ehf,Nfkbiz
Elf5,Nfkbiz
Ell,Ivns1abp
Emx1,Gata6
Emx1,Id3
Emx1,Irf9
Emx1,Meis2
Emx1,Otx2
Emx1,Spi1
Emx1,Hnf1a
Emx1,Tlx1
Emx1,Vdr
Emx1,Spdef
Emx1,Hnf4g
Emx1,Irf7
Emx1,Gtf2a1l
Emx1,Gtf2a1
Emx1,Kdm4b
Emx2,Nkx2-1
Emx2,Tlx1
Emx2,Irx6
Emx2,Med17
Epas1,Vhl
Nr2f6,Nkx2-1
Nr2f6,Zfp111
Nr2f6,Gtf2a1
Nr2f6,Sp7
Erg,Sox2
Esr1,Ncoa2
Esr1,Pou4f1
Esr1,Pou4f2
Esr2,Rbm39
Ewsr1,Jarid2
Ewsr1,Mecp2
Ewsr1,Mtf2
Ewsr1,Per1
Ewsr1,Rest
Ewsr1,Rorc
Ewsr1,Polr1a
Ewsr1,Kdm5d
Ewsr1,Srebf1
Ewsr1,Phf1
Ewsr1,Dedd
Ewsr1,Ubp1
Ewsr1,Zfp42
Ewsr1,Zfp292
Ewsr1,Trip4
Ewsr1,Ankrd49
Ewsr1,Zfp111
Ewsr1,Med20
Ewsr1,Sirt2
Ewsr1,Zdhhc6
Ewsr1,Xab2
Ewsr1,Ankra2
Ewsr1,Polr3f
Ewsr1,Cers5
Ewsr1,Ercc8
Ewsr1,Mms19
Ewsr1,Nkd2
Ewsr1,Asb6
Ewsr1,Naa15
Ewsr1,Ankrd7
Ewsr1,Rai14
Ewsr1,Cers2
Ewsr1,Nkrf
Ewsr1,Abtb1
Ewsr1,Trps1
Ewsr1,Smarca1
Ewsr1,Pwp1
Ewsr1,Chd4
Ewsr1,Tle6
Ewsr1,Rfxap
Ewsr1,Hdac10
Ewsr1,Ash1l
Ewsr1,Zfp180
Ewsr1,Zswim4
Ewsr1,Med16
Ewsr1,Pms1
Ewsr1,Snapc4
Ewsr1,Polr2b
Ewsr1,Zbtb24
Ewsr1,Zfp82
Eya3,Hoxb8
Eya3,Polr2a
Eya3,Six1
Eya3,Tlx3
Ezh2,Cited4
Foxh1,Smad2
Foxh1,Smad3
Foxh1,Nkx2-5
Foxh1,Rxrg
Foxh1,Gtf2a1
Fhl2,Wt1
Foxn2,Nfe2
Foxn2,Tlx3
Fmr1,Pura
Gata1,Spi1
Gata3,Med1
Gata3,Tbx21
Gata4,Med1
Gata5,Zfp292
Gata5,Med16
Gata5,Rorb
Gata6,Med1
Gata6,Nkx2-1
Gfi1,Tcf3
Gfi1,Pias3
Tsc22d3,Hoxa6
Tsc22d3,Hoxb8
Tsc22d3,Tcf3
Gli3,Ski
Nr3c1,Hoxb8
Nr3c1,Pou2f1
Nr3c1,Dmrtc2
Nr3c1,Rarb
Gsc,Tbx21
Gsx1,Irf9
Gsx2,Nkx2-1
Gtf2h1,Nfe2
Gtf2h1,Tlx3
Gtf2i,Pias2
Nkx6-2,Hnf1a
Nkx6-2,Sertad1
Nkx6-2,Tox3
Hand1,Tcf12
Hcls1,Nfe2
Hdac2,Hdac9
Hdac5,Ncor2
Foxq1,Ssbp2
Foxq1,Ssbp3
Foxj1,Rfx2
Hhex,Gtf2a1l
Hhex,Sp7
Hif1a,Vhl
Hif1a,Tlx3
Hivep2,Cited4
Hoxa1,Pax9
Hoxa1,Pbx1
Hoxa1,Cers2
Hoxa10,Pbx1
Hoxa10,Pbx2
Hoxa10,Tceb2
Hoxa11,Hr
Hoxa11,Zfp292
Hoxa11,Polr2i
Hoxa11,Hmgxb3
Hoxa2,Zfp292
Hoxa2,Ybx3
Hoxa2,Zdhhc6
Hoxa2,Asb12
Hoxa2,Ercc8
Hoxa2,Zdhhc16
Hoxa2,Rai14
Hoxa2,Cers2
Hoxa2,Chd4
Hoxa2,Tle6
Hoxa2,Rbm39
Hoxa4,Nfe2
Hoxa5,Pbx1
Hoxa6,Pbx1
Hoxa6,Pbx3
Hoxa6,Pou2f1
Hoxa6,Polr2i
Hoxa6,Pknox2
Hoxa9,Pax6
Hoxa9,Pbx3
Hoxa9,Pou2f1
Hoxa9,Nkx2-1
Hoxa9,Polr2i
Hoxa9,Gtf2a1l
Hoxa9,Jade1
Hoxb1,Cers2
Hoxb1,Sirt1
Hoxb13,Otx2
Hoxb4,Nfe2
Hoxb5,Pbx3
Hoxb6,Pbx1
Hoxb8,Irf9
Hoxb8,Pbx1
Hoxb8,Pbx3
Hoxb8,Pou2f1
Hoxb8,Stat5b
Hoxb8,Zfp30
Hoxb8,Irf7
Hoxb8,Asb1
Hoxb8,Polr2i
Hoxb8,Gtf2a1l
Hoxb8,Pknox2
Hoxc12,Pax6
Hoxc12,Pbx1
Hoxc12,Pbx2
Hoxc12,Pbx3
Hoxc12,Rfxank
Hoxc12,Nkx2-1
Hoxc12,Jade1
Hoxc4,Pbx1
Hoxc4,Pbx3
Hoxc4,Pou2f1
Hoxc4,Sall4
Hoxc5,Pbx1
Hoxc5,Pbx3
Hoxc5,Polr2i
Hoxc6,Pbx3
Hoxd1,Ldb1
Hoxd10,Pbx1
Hoxd10,Pbx2
Hoxd10,Pbx3
Hoxd10,Zfp292
Hoxd12,Pou6f1
Hoxd12,Rnps1
Hoxd12,Zfp292
Hoxd12,Polr2i
Hoxd12,Gtf2a1l
Hoxd12,Taf13
Hoxd12,Wwp1
Hoxd13,Sox15
Hoxd3,Meox2
Hoxd3,Cers2
Hoxd3,Tle6
Hoxd3,Csde1
Hoxd4,Pbx1
Hoxd4,Pbx3
Hoxd4,Polr2i
Hoxd9,Pbx3
Hoxd9,Zfp292
Hoxd9,Polr2i
Hr,Rorb
Elavl2,Tcf3
Id1,Myod1
Id1,Tcf12
Id1,Tcf4
Id1,Tlx3
Id2,Myod1
Id2,Rb1
Id2,Spi1
Ikbkg,Ncoa3
Ikbkg,Nfe2
Ikbkg,Tcf3
Ikbkg,Tnfaip3
Ikbkg,Tsg101
Ikbkg,Nfkbiz
Ikbkg,Maml1
Irf4,Tlx3
Irf9,Pou2f1
Irf9,Sox6
Irf9,Stat2
Irf9,Mixl1
Isl1,Ldb2
Isl1,Ssbp2
Jun,Mafb
Jun,Stat3
Junb,Batf
Junb,Batf3
Jund,Batf3
Mafb,Taf5
Ldb1,Lhx1
Ldb1,Lhx2
Ldb1,Lhx4
Ldb1,Lhx5
Ldb1,Lhx9
Ldb1,Lmo2
Ldb1,Lmo4
Ldb1,Lmx1b
Ldb1,Ssbp2
Ldb1,Zfp593
Ldb1,Pygo1
Ldb1,Ssbp3
Ldb1,Ssbp4
Ldb1,Isl2
Ldb1,Csdc2
Ldb1,Lmo3
Ldb1,Lmo1
Ldb1,Lmx1a
Ldb1,Tardbp
Ldb1,Tgif2lx1
Ldb1,Zfp446
Ldb2,Lhx1
Ldb2,Lhx2
Ldb2,Lhx4
Ldb2,Lhx5
Ldb2,Lhx9
Ldb2,Lmo2
Ldb2,Lmo4
Ldb2,Lmx1b
Ldb2,Ssbp2
Ldb2,Pygo1
Ldb2,Ssbp4
Ldb2,Isl2
Ldb2,Lmo3
Ldb2,Lmo1
Ldb2,Lmx1a
Ldb2,Zfp446
Lef1,Pias4
Lhx2,Ssbp2
Lhx2,Ssbp3
Lhx2,Mkl1
Lhx2,Gmeb2
Lhx4,Isl2
Lhx9,Pygo1
Lhx9,Ssbp3
Lhx9,Ssbp4
Lhx9,Zfp446
Lmo4,Ssbp2
Lmx1b,Ssbp2
Lmx1b,Ssbp3
Lmx1b,Ssbp4
