lncRNA_id,Score,Pre Label
lENSMUSG00000098145,1.0055723837903727,1
lNONMMUG024582,1.205704666274407,1
lENSMUSG00000057359,1.0478531385019565,1
lNONMMUG003416,1.116382103067103,1
lENSMUSG00000097911,1.2215941115346212,1
lENSMUSG00000085819,1.038641258266317,1
lENSMUSG00000108986,1.005422861361275,1
lENSMUSG00000084984,1.0645841126542663,1
lENSMUSG00000074555,1.0466459733396718,1
lENSMUSG00000087473,1.025968311095447,1
lNONMMUG041922,1.227566340677349,1
lNONMMUG013958,1.2832082615437272,1
lENSMUSG00000098760,1.0591954973901565,1
lENSMUSG00000092625,1.086882218801982,1
lENSMUSG00000085568,1.1150189581366092,1
lENSMUSG00000097726,0.929655654112814,1
lENSMUSG00000082063,1.6155235983158818,1
lNONMMUG010472,1.306177154779796,1
lENSMUSG00000087356,1.0566812837563262,1
lNONMMUG030841,1.4507611912420302,1
lENSMUSG00000086805,1.0159388043498083,1
lENSMUSG00000097640,0.913083402673756,1
lNONMMUG025731,1.4997452259105941,1
lNONMMUG034895,1.3061696933683251,1
lENSMUSG00000087028,0.9737038371149893,1
lENSMUSG00000083674,1.0025242961483016,1
lENSMUSG00000047935,1.0845942157031274,1
lNONMMUG024804,0.9954775856141751,1
lNONMMUG001288,1.276146110731439,1
lENSMUSG00000101609,1.0940595194008083,1
lENSMUSG00000087402,1.0456963482507788,1
lNONMMUG023040,1.3778710844973077,1
lENSMUSG00000103393,1.0347610717537137,1
lNONMMUG044745,1.3548010163401116,1
lENSMUSG00000097433,1.0606582257944055,1
lENSMUSG00000096929,1.0284541889411614,1
l1700112D23Rik,1.4291129646975307,1
lNONMMUG028494,1.3450447838577233,1
lNONMMUG044990,1.264118421631899,1
lENSMUSG00000074465,1.203619022074541,1
lENSMUSG00000073821,1.0529547357855265,1
lENSMUSG00000108034,1.0891730537585218,1
lNONMMUG039903,1.3828946654161243,1
lENSMUSG00000091351,1.0852938160402275,1
lENSMUSG00000098097,1.0148135173328043,1
lNONMMUG035092,1.435156932347816,1
lENSMUSG00000085886,1.0374512283153834,1
lENSMUSG00000086556,1.169392660710166,1
lENSMUSG00000086728,0.9827000785795761,1
lENSMUSG00000087203,0.9934490689014908,1
lENSMUSG00000093479,1.1662202413473253,1
lENSMUSG00000085071,1.2347054292929514,1
lENSMUSG00000085440,1.0169306112480925,1
lENSMUSG00000097634,1.0647460818845573,1
lNONMMUG005734,1.3578473473081871,1
lNONMMUG005041,1.3225663136099755,1
l4933404O12Rik,1.2875772714928573,1
lNONMMUG025108,1.080871524393764,1
lENSMUSG00000104302,1.067989365983884,1
lENSMUSG00000107246,0.9782213843640264,1
lNONMMUG035402,1.1015932980457777,1
lNONMMUG046159,1.167266406294523,1
lNONMMUG045568,1.4134433298829308,1
lENSMUSG00000097516,1.0541892034040146,1
lNONMMUG022506,1.3781782028804557,1
lENSMUSG00000108532,1.196505202892574,1
lNONMMUG021481,1.3207731131797473,1
lENSMUSG00000101348,1.0087546154955689,1
lENSMUSG00000086155,0.9754479968672527,1
lNONMMUG043118,1.21721257771501,1
lENSMUSG00000086157,1.0181493653126452,1
lENSMUSG00000097206,1.0155843725648523,1
lNONMMUG041610,1.3126457923295831,1
lENSMUSG00000101970,1.028898901301936,1
lNONMMUG033102,0.29269802837809067,1
lENSMUSG00000097216,1.0728865269526509,1
lNONMMUG005081,1.4746234279209816,1
lENSMUSG00000074354,1.0467602099394853,1
lENSMUSG00000087640,1.1585537985219148,1
lENSMUSG00000090399,0.9943567847377395,1
lNONMMUG002557,1.2259508538023667,1
lENSMUSG00000103428,1.0429023744111205,1
lENSMUSG00000085589,1.053049912180974,1
lNONMMUG005829,0.6159093865530778,1
lENSMUSG00000085234,1.0530441282390584,1
lNONMMUG006746,1.2982380408516931,1
lENSMUSG00000101628,0.9333780602720267,1
lENSMUSG00000043192,1.0335210491872644,1
lNONMMUG021777,1.1050485963426482,1
lENSMUSG00000086539,1.0462383861817202,1
lENSMUSG00000097380,1.0379108870355438,1
lNONMMUG020671,1.27813194209714,1
lENSMUSG00000090608,1.0348412427892626,1
lENSMUSG00000097026,1.0336546507476996,1
lENSMUSG00000086604,0.9596294484562193,1
lENSMUSG00000086353,1.2702312743744173,1
lENSMUSG00000085396,1.0868927762358354,1
lNONMMUG006176,0.9443517379930668,1
lNONMMUG044327,1.3594956115225827,1
