lncRNA_id,identifier,gene_name,gene_id
lAC007128.1,AC007128.1,AC007128.1,NONHSAG046923
lAC007163.6,AC007163.6,AC007163.6,NONHSAG030219
lAC007182.6,AC007182.6,AC007182.6,NONHSAG015496
lAC007193.8,AC007193.8,AC007193.8,
lAC007204.2,AC007204.2,AC007204.2,
lAC007246.3,AC007246.3,AC007246.3,NONHSAG027544
lAC007251.2,AC007251.2,AC007251.2,NONHSAG028765
lAC007277.3,AC007277.3,AC007277.3,NONHSAG029787
lAC007381.2,AC007381.2,AC007381.2,NONHSAG027854
lAC007381.3,AC007381.3,AC007381.3,NONHSAG027853
lAC007386.2,AC007386.2,AC007386.2,NONHSAG027974
lAC007401.1,AC007401.1,AC007401.1,NONHSAG027466
lAC007405.4,AC007405.4,AC007405.4,NONHSAG029789
lAC007559.1,AC007559.1,AC007559.1,NONHSAG030718;NONHSAG030717
lAC007639.1,AC007639.1,AC007639.1,
lAC007773.2,AC007773.2,AC007773.2,NONHSAG025455
lAC007796.1,AC007796.1,AC007796.1,NONHSAG025439
lAC007879.1,AC007879.1,AC007879.1,NONHSAG030357
lAC007880.1,AC007880.1,AC007880.1,NONHSAG027976
lAC008060.8,AC008060.8,AC008060.8,NONHSAG049250
lAC008065.1,AC008065.1,AC008065.1,NONHSAG029807
lAC008073.6,AC008073.6,AC008073.6,
lAC008074.3,AC008074.3,AC008074.3,NONHSAG027962
lAC008163.4,AC008163.4,AC008163.4,
lAC008280.5,AC008280.5,AC008280.5,
lAC008281.1,AC008281.1,AC008281.1,NONHSAG030610
lAC008731.1,AC008731.1,AC008731.1,NONHSAG018927
lAC008745.1,AC008745.1,AC008745.1,
lAC008746.12,AC008746.12,AC008746.12,
lAC008753.6,AC008753.6,AC008753.6,NONHSAG026476
lAC008984.2,AC008984.2,AC008984.2,
lAC008992.2,AC008992.2,AC008992.2,NONHSAG025440
lAC009014.3,AC009014.3,AC009014.3,
lAC009053.1,AC009053.1,AC009053.1,
lAC009086.1,AC009086.1,AC009086.1,
lAC009113.1,AC009113.1,AC009113.1,
lAC009133.12,AC009133.12,AC009133.12,
lAC009133.20,AC009133.20,AC009133.20,
lAC009229.4,AC009229.4,AC009229.4,NONHSAG027509
lAC009229.5,AC009229.5,AC009229.5,NONHSAG027508
lAC009229.6,AC009229.6,AC009229.6,NONHSAG027506
lAC009303.1,AC009303.1,AC009303.1,NONHSAG029073
lAC009303.3,AC009303.3,AC009303.3,NONHSAG029069
lAC009475.2,AC009475.2,AC009475.2,
lAC009492.1,AC009492.1,AC009492.1,NONHSAG030501
lAC009495.4,AC009495.4,AC009495.4,NONHSAG029724
lAC009499.1,AC009499.1,AC009499.1,
lAC009502.4,AC009502.4,AC009502.4,NONHSAG030605
lAC009948.3,AC009948.3,AC009948.3,
lAC009950.2,AC009950.2,AC009950.2,NONHSAG030726
lAC009961.3,AC009961.3,AC009961.3,NONHSAG029640
lAC010090.1,AC010090.1,AC010090.1,
lAC010127.3,AC010127.3,AC010127.3,NONHSAG029729
lAC010127.5,AC010127.5,AC010127.5,NONHSAG029727
lAC010282.1,AC010282.1,AC010282.1,
lAC010507.5,AC010507.5,AC010507.5,NONHSAG024279
lAC010525.6,AC010525.6,AC010525.6,
lAC010525.7,AC010525.7,AC010525.7,
lAC010609.1,AC010609.1,AC010609.1,NONHSAT104754
lAC010731.4,AC010731.4,AC010731.4,NONHSAG030349
lAC010761.14,AC010761.14,AC010761.14,
lAC010976.2,AC010976.2,AC010976.2,NONHSAG029192
lAC010987.5,AC010987.5,AC010987.5,
lAC010987.6,AC010987.6,AC010987.6,NONHSAG028056
lAC011284.3,AC011284.3,AC011284.3,NONHSAG046828
lAC011288.2,AC011288.2,AC011288.2,NONHSAG046971
lAC011290.4,AC011290.4,AC011290.4,NONHSAG047396
lAC011450.1,AC011450.1,AC011450.1,NONHSAT067166
lAC011460.1,AC011460.1,AC011460.1,
lAC011497.1,AC011497.1,AC011497.1,
lAC011558.5,AC011558.5,AC011558.5,
lAC011718.2,AC011718.2,AC011718.2,
lAC011747.3,AC011747.3,AC011747.3,NONHSAG026933
lAC011893.3,AC011893.3,AC011893.3,
lAC011995.1,AC011995.1,AC011995.1,NONHSAG026831
lAC012065.7,AC012065.7,AC012065.7,
lAC012100.1,AC012100.1,AC012100.1,
lAC012307.2,AC012307.2,AC012307.2,
lAC012307.3,AC012307.3,AC012307.3,NONHSAG028607;NONHSAG028608
lAC012363.4,AC012363.4,AC012363.4,NONHSAG029104
lAC012531.23,AC012531.23,AC012531.23,
lAC012652.1,AC012652.1,AC012652.1,
lAC013461.1,AC013461.1,AC013461.1,
lAC013463.2,AC013463.2,AC013463.2,NONHSAG029713
lAC013553.1,AC013553.1,AC013553.1,
lAC013727.2,AC013727.2,AC013727.2,NONHSAG028781
lAC015849.13,AC015849.13,AC015849.13,
lAC015849.16,AC015849.16,AC015849.16,
lAC015849.19,AC015849.19,AC015849.19,
lAC015994.1,AC015994.1,AC015994.1,
lAC016205.1,AC016205.1,AC016205.1,
lAC016251.2,AC016251.2,AC016251.2,
lAC016626.2,AC016626.2,AC016626.2,
lAC016700.3,AC016700.3,AC016700.3,NONHSAG028097
lAC016722.1,AC016722.1,AC016722.1,NONHSAG027676
lAC016725.4,AC016725.4,AC016725.4,NONHSAG029357
lAC016757.1,AC016757.1,AC016757.1,
lAC016773.1,AC016773.1,AC016773.1,NONHSAG037278
lAC016912.3,AC016912.3,AC016912.3,NONHSAG027658
lAC017048.3,AC017048.3,AC017048.3,NONHSAG029913
lAC017048.4,AC017048.4,AC017048.4,NONHSAG029914
lAC017060.1,AC017060.1,AC017060.1,NONHSAG047022
lAC017096.1,AC017096.1,AC017096.1,
lAC017099.3,AC017099.3,AC017099.3,
lAC018442.1,AC018442.1,AC018442.1,NONHSAG050876
lAC018462.2,AC018462.2,AC018462.2,NONHSAG027898
lAC018642.1,AC018642.1,AC018642.1,NONHSAG048823
lAC018737.1,AC018737.1,AC018737.1,NONHSAG029132
lAC018766.4,AC018766.4,AC018766.4,NONHSAG026276
lAC018816.4,AC018816.4,AC018816.4,
lAC018890.4,AC018890.4,AC018890.4,NONHSAG029883;NONHSAG029882
lAC019181.2,AC019181.2,AC019181.2,NONHSAG029708
lAC019221.4,AC019221.4,AC019221.4,NONHSAG030820
lAC019349.2,AC019349.2,AC019349.2,
lAC020601.1,AC020601.1,AC020601.1,
lAC020907.6,AC020907.6,AC020907.6,
lAC020911.1,AC020911.1,AC020911.1,
lAC020915.4,AC020915.4,AC020915.4,
lAC020928.2,AC020928.2,AC020928.2,
lAC020956.3,AC020956.3,AC020956.3,
lAC020978,AC020978,AC020978,
lAC021755.4,AC021755.4,AC021755.4,
lAC022409.1,AC022409.1,AC022409.1,
lAC022415.5,AC022415.5,AC022415.5,
lAC022872.1,AC022872.1,AC022872.1,NONHSAT047064
lAC022916.1,AC022916.1,AC022916.1,
lAC023085.1,AC023085.1,AC023085.1,NONHSAG008127
lAC023115.1,AC023115.1,AC023115.1,
lAC023115.2,AC023115.2,AC023115.2,NONHSAG028036
lAC023490.1,AC023490.1,AC023490.1,
lAC024270.1,AC024270.1,AC024270.1,
lAC025171.1,AC025171.1,AC025171.1,NONHSAG040299
lAC025335.1,AC025335.1,AC025335.1,
lAC026462.2,AC026462.2,AC026462.2,
lAC026806.2,AC026806.2,AC026806.2,
lAC026904.1,AC026904.1,AC026904.1,NONHSAG050179
