protein,uniprot_id
HAS2,Q92819
iNOS,O19114
RPS6KA2,X5DPB4
DISC1,Q9NRI5
Runx2,Q13950
INS,P01344
Msx1,-
FGFR3,-
glmS,A1JSN5
Cop2,Q53496
KCNQ1,P97414
UBE3A,Q05086
COPG2,Q9UBF2
Peg1,O42874
FGF7,P21781
RFP2,O60858
HOXD11,Q14DW8
HOXD8,A0A0A0MSX5
HOXD9,A0A087X222
MCL1,Q07820
ZEB2,O60315
PEG11,A6NKG5
GAL4,P38552
BOK,Q9UMX3
TNFRSF17,Q02223
DLG2,Q15700
PEG3,A1YFC1
MYOD1,P10085
E2F4,Q16254
ATXN7,H0YAT6
KLHL11,A0A024R1T8
TXNRD2,E7ENA2
TXNRD1,E9PLT3
TXNRD3,Q86VQ6
TRAF3IP2,O43734
DAB2IP,H0Y3A3
CENPF,P49454
CXCL11,A9QWQ1
NEDD9,A0A087WUD2
CTNNB1,A0A024R2Q3
JUNB,P17275
DIO3,A7YD35
NPPA,O46540
SMAD5,Q99717
DHRS4,Q5RCF8
DHRS4L2,F5H660
DHRS4L1,P0CG22
IFNG,-
WT1,P19544
HLA-DQB1,U5IQE4
TFIIH,P19447
DDX46,Q7L014
HLA-DRB1,G9HW14
ASF,Q9NVP2
IMP4,P53941
PRPF4,O43172
U5-15KD,P83876
U5S1,Q6IBM8
TBP,P13393
NS-1,Q9Y6Y0
MVP,-
Ro52,P19474
SRP72,O76094
SRP68,Q9VSS2
TNFRSF1A,J9PH39
THBS1,A8MZG1
SERPINE1,P05121
NME4,Q4TT34
NFKBIA,G3V286
NFKB1,P19838
MTA1,Q13330
MCAM,Q9NQ41
JUN,P05412
EPDR1,Q9UM22
E2F1,Q01094
CD44,P16070
BIRC5,O15392
Rbm20,Q5T481
Coilin,P38432
RBPMS,Q93062
LIN28B,Q6ZN17
PUM2,Q8TB72
IGF2P1,-
EIF3G,O75821
TNRC6C,K7EKN9
TNRC6A,H3BRT3
TNRC6B,A0A024R1T4
ORF57,Q86V81
IAPP,NM_000415
TP53INP1,NM_033285
RBM47,A0AV96
PSEN1,-
AMPD1,Hs.89570
C2,Hs.408903
DDB2,Hs.700338
TOR1A,Hs.534312
ETFA,Hs.39925
FANCA,Hs.744083
FTL,Hs.433670
GALK1,Hs.407966
GP1BA,Hs.1472
GPI,-
ITGB4,Hs.632226
KRT18,Hs.406013
LIG1,Hs.1770
MEN1,Hs.423348
PGAM2,Hs.632642
PKP1,Hs.497350
TNNT2,Hs.533613
CTSK,-
APRT,-
IL11,Hs.467304
ACHE,-
ATP1A1,Hs.371889
BLVRB,Hs.515785
CACNB3,-
CRAT,-
GRIN2D,Hs.445015
GRINA,-
IGF1R,Hs.714012
ITGB7,Hs.654470
SERPINF2,Hs.159509
RARG,Hs.733399
RPL13,Hs.410817
RPL18,-
STX16,Hs.307913
NDUFV3,Hs.473937
USP16,H9KVB6
GMPR2,Hs.368855
C4A,Hs.720022
RECQL5,Hs.632229
LRRC29,Hs.461000
DNM1,-
DNM2,Hs.211463
TTYH1,-
HIST2H3A,Hs.706618
YBEY,Hs.474066
TCEAL3,Mm.260515
SPOP,Hs.740407
CSDE1,Hs.69855
C7orf59,Hs.406520
SPDYC,Hs.450642
CKAP5,Hs.201253
LBX2,Hs.516124
MEIS3,Hs.356135
FAM102B,Hs.200230
CLEC18B,Hs.592064
MCRS1,Hs.25313
SLC3A2,Hs.502769
NUDT17,Hs.585066
CTU2,Hs.592074
KLK6,Hs.79361
EXOC7,Hs.514496
CXorf40B,Hs.545950
ETFB,Hs.348531
TM9SF1,-
SLX1A,Hs.729791
RPS11,-
LLGL2,-
HDAC5,Hs.438782
UFSP1,Hs.534845
SULT1A3,Hs.460558
RCCD1,Hs.655895
OS9,Hs.527861
OPA3,Hs.466945
MUC1,Hs.89603
CORO1B,-
RPS21,Hs.190968
ASPDH,Hs.436338
BRMS1,Hs.100426
VRK3,Hs.443330
RPS24,A0A087WUS0
RPS25,-
KCTD21,-
AHDC1,Hs.469280
ZNF16,Hs.493225
COX19,Hs.121593
SPDYE2,Hs.656428
TRMT11,-
CRELD1,-
ATAT1,Hs.654798
BOLA2B,Hs.745100
UBE2V1,-
C17orf62,Hs.163113
TRPT1,Hs.326586
HIST1H4D,Hs.745457
NHP2,Hs.744074
